,title,view_num,url
0,Old school Lapel tricks -Kimura, 180,https://www.youtube.com/watch?v=QM9Qp1kYbkE
1,Old school Americana from inside the Guard, 439,https://www.youtube.com/watch?v=LQXt0A8gJ00
2,Old school lasso guard pass, 460,https://www.youtube.com/watch?v=V9o13Fl3cYs
3,OLD SCHOOL  EZEKIAL CHOKE, 547,https://www.youtube.com/watch?v=bRjP5Ti8Y3k
4,Old School Foot lock from side control, 500,https://www.youtube.com/watch?v=HINWYC9smg8
5,Pass the guard defense, 327,https://www.youtube.com/watch?v=v8HpzeFIlMQ
6,ARMBAR ATTACK, 541,https://www.youtube.com/watch?v=DM4_azHzm78
7,Attack from knee on the belly, 434,https://www.youtube.com/watch?v=vlDBqhIhw2A
8,Old School Spider Guard Converted to Single X Guard Sweep, 453,https://www.youtube.com/watch?v=PDadmduhZeY
9,Butterfly Guard attack Old School, 620,https://www.youtube.com/watch?v=y_ZGd1xW_LA
10,Armlocks fundamental BJJ Old School, 360,https://www.youtube.com/watch?v=EuTYANKkNMs
11,50/50 guard secrets and defense, 218,https://www.youtube.com/watch?v=nxJR5pSmHls
12,Guard Sweeps Tips, 407,https://www.youtube.com/watch?v=cRMrHaMk2iw
13,Darce Choke upside down, 510,https://www.youtube.com/watch?v=p6zFe_IPKmg
14,Leg locks from Side Control, 557,https://www.youtube.com/watch?v=Eso6DK1IPbg
15,Bow and Arrow choke scape, 500,https://www.youtube.com/watch?v=dmqEqRMeNZc
16,3 Basics escapes from Omoplata, 501,https://www.youtube.com/watch?v=AY0512OZ18w
17,Omoplata counter attack defense!!!, 506,https://www.youtube.com/watch?v=V7ViASfPPhk
18,Paper Cut Choke from side control, 585,https://www.youtube.com/watch?v=L0joyfEKO44
19,Guilhotina secrets, 416,https://www.youtube.com/watch?v=VziTBe3VAJU
20,Wrist Lock from Cross Choke, 409,https://www.youtube.com/watch?v=gj_vNMys38I
21,How to break the grips for pass the lasso guard, 307,https://www.youtube.com/watch?v=uVO_N73GZ2Q
22,Armbar trap from inside the guard, 653,https://www.youtube.com/watch?v=1bgMumkdACM
23,De La Riva Guard Basic pass, 330,https://www.youtube.com/watch?v=sYMkyagzMyU
24,Passing the Lasso Guard, 417,https://www.youtube.com/watch?v=gMSyvFr0eJA
25,Lasso Guard armbar, 1.1천,https://www.youtube.com/watch?v=d5leVZd4At0
26,Sweep from spider and lasso guard, 438,https://www.youtube.com/watch?v=fgEfDJTglL0
27,Lasso guard sweep secret & triangle, 672,https://www.youtube.com/watch?v=dbM8trCqfCU
28,Lasso Guard Secret, 990,https://www.youtube.com/watch?v=7ebDmvdzLpE
29,Spider Guard & X guard sweeps, 477,https://www.youtube.com/watch?v=nDPf8EYwTOI
30,Como raspar e finalizar no armlock usando a guarda worm, 473,https://www.youtube.com/watch?v=dZDfhFB4VGQ
31,Guarda Delariva, 508,https://www.youtube.com/watch?v=9P4g4bi6KiI
32,Spider Guard attack / Guarda aranha  armlock, 591,https://www.youtube.com/watch?v=4JU5x7LKJt8
33,"Spide Guard, Lasso Guard sweeps / Guard aranha raspagens", 650,https://www.youtube.com/watch?v=lvrEwR7Hzl0
34,Guarda Delariva defesa / Delariva Guard pass, 569,https://www.youtube.com/watch?v=1qxim_njGVQ
35,Guarda aranha armlocks, 461,https://www.youtube.com/watch?v=YWTgb1eczyw
36,Spider guard attack / finalização na guard aranha, 718,https://www.youtube.com/watch?v=t8bFJaPQI3c
37,Knee on the belly scape part 2, 578,https://www.youtube.com/watch?v=YKfq8G1lrYw
38,Knee on the belly and leglock / joelho na barriga e chave de joelho, 972,https://www.youtube.com/watch?v=cIvs25AbHPM
39,Detalhe para escapar  da imobilização, 365,https://www.youtube.com/watch?v=vPWOKdH84zM
40,Half guard sweeps, 1.5천,https://www.youtube.com/watch?v=-DHUlRMKqEM
41,Footlocker 🦶 Defense, 698,https://www.youtube.com/watch?v=n_bJY7NfjHQ
42,Passing the Spider Guard, 779,https://www.youtube.com/watch?v=bg2FIItdUUw
43,Defense against Sprawl, 761,https://www.youtube.com/watch?v=VRqam-3rNl4
44,Leg lock, 772,https://www.youtube.com/watch?v=Q0TCDsE2jDc
45,Chave de pé na guarda laço / Foot lock at lasso Guard, 1천,https://www.youtube.com/watch?v=jwcPMydryHU
46,Triângulo de mão / triangle of the hands, 737,https://www.youtube.com/watch?v=fdypCtnvEbQ
47,Spider guard pass with armbar / passando a guarda aranha  finalizando com armlock, 1.2천,https://www.youtube.com/watch?v=X7-Jr0ydMPU
48,"Meia guarda com professor Rafael Lang da Octagon MMA , Direto de Dallas Texas", 942,https://www.youtube.com/watch?v=tVKpMl_j7vo
49,Foot lock attack, 708,https://www.youtube.com/watch?v=zHXsCd-WhFY
50,How to scape from  no-gi 50/50 Basic steps, 649,https://www.youtube.com/watch?v=iUa4IFek9WM
51,How to pass a butterfly guard, 1천,https://www.youtube.com/watch?v=aEzZ64WSNgM
52,How to set up the flower sweep form close guard, 1.4천,https://www.youtube.com/watch?v=ZxZKAfGz7W8
53,Spider guard sweep with leg lock, 1.4천,https://www.youtube.com/watch?v=rNPrDoJr25Q
54,How to guilhotine the oponente with arm drag form half guard, 1.4천,https://www.youtube.com/watch?v=_GRB-V-8Rd4
55,Half Guard basic sweeps part 2, 1.3천,https://www.youtube.com/watch?v=UJyVO4KTJJ8
56,How to sweep big guys from half guard, 4.3천,https://www.youtube.com/watch?v=ByW1zjsRrIQ
57,Secrets from Butterfly guard, 1.1천,https://www.youtube.com/watch?v=9wRJPCFyV2w
58,How to do Wrist lock from close guard, 1.3천,https://www.youtube.com/watch?v=1As-x5Ry-z0
59,How to attack the back from butterfly guard, 1.2천,https://www.youtube.com/watch?v=w07yA3wV1tg
60,How to do a reverse armbar from the guard, 1.3천,https://www.youtube.com/watch?v=VqX-iyBPUg8
61,How to break the grip from kimura attack, 1.4천,https://www.youtube.com/watch?v=a1rPkHjoOPo
62,How to escape from side control against 100kg immobilization, 3.8천,https://www.youtube.com/watch?v=4ccCQ--xGGA
63,How to escape from lasso guard /Escapando da guarda lasso, 788,https://www.youtube.com/watch?v=r7sLNzv9XY0
64,Jiu Jitsu Techniques - Kimura Polonesa part 2/ Polish Kimura part 2, 1.1천,https://www.youtube.com/watch?v=z0165aMMRsg
65,Jiu Jitsu Techniques - Kimura Polonesa part 1 / Polus Kimura part 1, 1.3천,https://www.youtube.com/watch?v=QI4fizolnl4
66,Jiu Jitsu Techniques - lapel chokes and attacks, 2.2천,https://www.youtube.com/watch?v=4JnLGbHhbFM
67,Arm and wrist attack, 1.3천,https://www.youtube.com/watch?v=LDDlkohMWf0
68,Lapel choke from stand up, 1.8천,https://www.youtube.com/watch?v=PI_rXjB-DFg
69,Americana attack, 915,https://www.youtube.com/watch?v=ZBWKwfYx7pk
70,Jiu Jitsu Techniques - foot lock  from single leg and from guard, 1.2천,https://www.youtube.com/watch?v=eTG3QOUmnbw
71,Meia guarda / haf guard, 899,https://www.youtube.com/watch?v=_D-4mVlAzCE
72,Teaching Brazilian jiu-jitsu in France, 1.2천,https://www.youtube.com/watch?v=JJUqqTZ0AhA
73,Ataque o estrangulamento dando um rolamento/Roll and Choke, 928,https://www.youtube.com/watch?v=iG8SmZXvs0Q
74,Jiu Jitsu Techniques - ataque pelas costas no quatro apoia / all four attacks, 1.1천,https://www.youtube.com/watch?v=X5BbhqVHbZo
75,Jiu Jitsu Techniques - Spraw counter escape from all four, 2.8천,https://www.youtube.com/watch?v=wbrH1yKuLmg
76,Jiu Jitsu Techniques - wrist lock/mão de vaca, 2.8천,https://www.youtube.com/watch?v=16M5wrPYZ-s
77,Jiu Jitsu Techniques -armlock, 2.4천,https://www.youtube.com/watch?v=F-f7nvEGI3Q
78,estrangulamento relogio no 100 kilos /clock choke at side control, 2.2천,https://www.youtube.com/watch?v=G4czD67h9y0
79,How to mount on your opponent simple and efficient., 1.2천,https://www.youtube.com/watch?v=g453vfqqjGQ
80,Never telegraph the attack/ Nunca telegrafe o attack, 1.3천,https://www.youtube.com/watch?v=37PkNih6o7Y
81,Sweep from open guard part 1 / raspagem com a guarda aberta parte 1, 1.3천,https://www.youtube.com/watch?v=MDqR8EUxw7U
82,Jiu Jitsu Techniques -escape from pass the guard, 2.9천,https://www.youtube.com/watch?v=JHts4u2dsnc
83,How to defende under hook from the oponente when you pass the guard and submit him with a Darcy, 1.9천,https://www.youtube.com/watch?v=x6UlM3nkv5w
84,Spide Guard sweep fundamental, 1.9천,https://www.youtube.com/watch?v=7v3T64uCbIE
85,Jiu Jitsu Techniques - Double attack from the mount  and scape, 2천,https://www.youtube.com/watch?v=P4OVYPN_Lmw
86,Foot lock attack from Delariva Guard, 2.1천,https://www.youtube.com/watch?v=quf2fHF_k9E
87,Triangle of the hands or Darce, 1.9천,https://www.youtube.com/watch?v=3S4Sf6TUMAw
88,Spider guard sweep and attacks, 4.9천,https://www.youtube.com/watch?v=4tWVW9-sPs0
89,Attack  from guard with submission from back, 1.4천,https://www.youtube.com/watch?v=Y0e-A6VBu4s
90,Knee on the belly scape / joelho na barriga defesa, 4.6천,https://www.youtube.com/watch?v=DkcCv7DgJgM
91,"Half guard defense , sweep and attack the back", 3천,https://www.youtube.com/watch?v=VPc6XOZRFXA
92,"Spider guard , Lasso lapel choke", 3.8천,https://www.youtube.com/watch?v=Ms15t_ZAbh0
93,"Side control ,  Head lock scape , fundamental class part 2", 1.2천,https://www.youtube.com/watch?v=C18gTmg9owU
94,Pass the guard fundamental part 1, 1.7천,https://www.youtube.com/watch?v=yI3RO-zWF2Q
95,Sweep and submissions from the guard, 2.7천,https://www.youtube.com/watch?v=_zqb1E9fogY
96,Knee on the belly scape or defense, 3.2천,https://www.youtube.com/watch?v=mXdE3uzZ8WM
97,Jiu-Jitsu Technique - Arm lock attacks tips from the guard, 2.8천,https://www.youtube.com/watch?v=AOnyHHI5oRk
98,"Jiu-Jitsu techniques , Mount scape and half guard sweep .", 2.4천,https://www.youtube.com/watch?v=6czAwrUnQzw
