,title,detokenized_title
0,"['old', 'school', 'lapel', 'trick', '-kimura']",old school lapel trick -kimura
1,"['old', 'school', 'americana', 'inside', 'guard']",old school americana inside guard
2,"['old', 'school', 'lasso', 'guard', 'pass']",old school lasso guard pass
3,"['old', 'school', 'ezekial', 'choke']",old school ezekial choke
4,"['old', 'school', 'foot', 'lock', 'side', 'control']",old school foot lock side control
5,"['pass', 'guard', 'defense']",pass guard defense
6,"['armbar', 'attack']",armbar attack
7,"['attack', 'knee', 'belly']",attack knee belly
8,"['old', 'school', 'spider', 'guard', 'convert', 'single', 'x', 'guard', 'sweep']",old school spider guard convert single x guard sweep
9,"['butterfly', 'guard', 'attack', 'old', 'school']",butterfly guard attack old school
10,"['armlocks', 'fundamental', 'bjj', 'old', 'school']",armlocks fundamental bjj old school
11,"['50/50', 'guard', 'secrets', 'defense']",50/50 guard secrets defense
12,"['guard', 'sweep', 'tip']",guard sweep tip
13,"['darce', 'choke', 'upside']",darce choke upside
14,"['leg', 'lock', 'side', 'control']",leg lock side control
15,"['bow', 'arrow', 'choke', 'scape']",bow arrow choke scape
16,"['3', 'basics', 'escape', 'omoplata']",3 basics escape omoplata
17,"['omoplata', 'counter', 'attack', 'defense', '!', '!', '!']",omoplata counter attack defense ! ! !
18,"['paper', 'cut', 'choke', 'side', 'control']",paper cut choke side control
19,"['guilhotina', 'secrets']",guilhotina secrets
20,"['wrist', 'lock', 'cross', 'choke']",wrist lock cross choke
21,"['break', 'grip', 'pass', 'lasso', 'guard']",break grip pass lasso guard
22,"['armbar', 'trap', 'inside', 'guard']",armbar trap inside guard
23,"['de', 'la', 'riva', 'guard', 'basic', 'pass']",de la riva guard basic pass
24,"['pass', 'lasso', 'guard']",pass lasso guard
25,"['lasso', 'guard', 'armbar']",lasso guard armbar
26,"['sweep', 'spider', 'lasso', 'guard']",sweep spider lasso guard
27,"['lasso', 'guard', 'sweep', 'secret', '&', 'triangle']",lasso guard sweep secret & triangle
28,"['lasso', 'guard', 'secret']",lasso guard secret
29,"['spider', 'guard', '&', 'x', 'guard', 'sweep']",spider guard & x guard sweep
30,"['como', 'raspar', 'e', 'finalizar', 'armlock', 'usando', 'guarda', 'worm']",como raspar e finalizar armlock usando guarda worm
31,"['guarda', 'delariva']",guarda delariva
32,"['spider', 'guard', 'attack', '/', 'guarda', 'aranha', 'armlock']",spider guard attack / guarda aranha armlock
33,"['spide', 'guard', ',', 'lasso', 'guard', 'sweep', '/', 'guard', 'aranha', 'raspagens']","spide guard , lasso guard sweep / guard aranha raspagens"
34,"['guarda', 'delariva', 'defesa', '/', 'delariva', 'guard', 'pass']",guarda delariva defesa / delariva guard pass
35,"['guarda', 'aranha', 'armlocks']",guarda aranha armlocks
36,"['spider', 'guard', 'attack', '/', 'finalização', 'na', 'guard', 'aranha']",spider guard attack / finalização na guard aranha
37,"['knee', 'belly', 'scape', 'part', '2']",knee belly scape part 2
38,"['knee', 'belly', 'leglock', '/', 'joelho', 'na', 'barriga', 'e', 'chave', 'de', 'joelho']",knee belly leglock / joelho na barriga e chave de joelho
39,"['detalhe', 'para', 'escapar', 'da', 'imobilização']",detalhe para escapar da imobilização
40,"['half', 'guard', 'sweep']",half guard sweep
41,"['footlocker', '🦶', 'defense']",footlocker 🦶 defense
42,"['pass', 'spider', 'guard']",pass spider guard
43,"['defense', 'sprawl']",defense sprawl
44,"['leg', 'lock']",leg lock
45,"['chave', 'de', 'pé', 'na', 'guarda', 'laço', '/', 'foot', 'lock', 'lasso', 'guard']",chave de pé na guarda laço / foot lock lasso guard
46,"['triângulo', 'de', 'mão', '/', 'triangle', 'hand']",triângulo de mão / triangle hand
47,"['spider', 'guard', 'pass', 'armbar', '/', 'passando', 'guarda', 'aranha', 'finalizando', 'com', 'armlock']",spider guard pass armbar / passando guarda aranha finalizando com armlock
48,"['meia', 'guarda', 'com', 'professor', 'rafael', 'lang', 'da', 'octagon', 'mma', ',', 'direto', 'de', 'dallas', 'texas']","meia guarda com professor rafael lang da octagon mma , direto de dallas texas"
49,"['foot', 'lock', 'attack']",foot lock attack
50,"['scape', 'no-gi', '50/50', 'basic', 'step']",scape no-gi 50/50 basic step
51,"['pass', 'butterfly', 'guard']",pass butterfly guard
52,"['set', 'flower', 'sweep', 'form', 'close', 'guard']",set flower sweep form close guard
53,"['spider', 'guard', 'sweep', 'leg', 'lock']",spider guard sweep leg lock
54,"['guilhotine', 'oponente', 'arm', 'drag', 'form', 'half', 'guard']",guilhotine oponente arm drag form half guard
55,"['half', 'guard', 'basic', 'sweep', 'part', '2']",half guard basic sweep part 2
56,"['sweep', 'big', 'guy', 'half', 'guard']",sweep big guy half guard
57,"['secrets', 'butterfly', 'guard']",secrets butterfly guard
58,"['wrist', 'lock', 'close', 'guard']",wrist lock close guard
59,"['attack', 'back', 'butterfly', 'guard']",attack back butterfly guard
60,"['reverse', 'armbar', 'guard']",reverse armbar guard
61,"['break', 'grip', 'kimura', 'attack']",break grip kimura attack
62,"['escape', 'side', 'control', '100kg', 'immobilization']",escape side control 100kg immobilization
63,"['escape', 'lasso', 'guard', '/escapando', 'da', 'guarda', 'lasso']",escape lasso guard /escapando da guarda lasso
64,"['jiu', 'jitsu', 'techniques', '-', 'kimura', 'polonesa', 'part', '2/', 'polish', 'kimura', 'part', '2']",jiu jitsu techniques - kimura polonesa part 2/ polish kimura part 2
65,"['jiu', 'jitsu', 'techniques', '-', 'kimura', 'polonesa', 'part', '1', '/', 'polus', 'kimura', 'part', '1']",jiu jitsu techniques - kimura polonesa part 1 / polus kimura part 1
66,"['jiu', 'jitsu', 'techniques', '-', 'lapel', 'choke', 'attack']",jiu jitsu techniques - lapel choke attack
67,"['arm', 'wrist', 'attack']",arm wrist attack
68,"['lapel', 'choke', 'stand']",lapel choke stand
69,"['americana', 'attack']",americana attack
70,"['jiu', 'jitsu', 'techniques', '-', 'foot', 'lock', 'single', 'leg', 'guard']",jiu jitsu techniques - foot lock single leg guard
71,"['meia', 'guarda', '/', 'haf', 'guard']",meia guarda / haf guard
72,"['teach', 'brazilian', 'jiu-jitsu', 'france']",teach brazilian jiu-jitsu france
73,"['ataque', 'estrangulamento', 'dando', 'um', 'rolamento/roll', 'choke']",ataque estrangulamento dando um rolamento/roll choke
74,"['jiu', 'jitsu', 'techniques', '-', 'ataque', 'pelas', 'costas', 'quatro', 'apoia', '/', 'four', 'attack']",jiu jitsu techniques - ataque pelas costas quatro apoia / four attack
75,"['jiu', 'jitsu', 'techniques', '-', 'spraw', 'counter', 'escape', 'four']",jiu jitsu techniques - spraw counter escape four
76,"['jiu', 'jitsu', 'techniques', '-', 'wrist', 'lock/mão', 'de', 'vaca']",jiu jitsu techniques - wrist lock/mão de vaca
77,"['jiu', 'jitsu', 'techniques', '-armlock']",jiu jitsu techniques -armlock
78,"['estrangulamento', 'relogio', '100', 'kilos', '/clock', 'choke', 'side', 'control']",estrangulamento relogio 100 kilos /clock choke side control
79,"['mount', 'opponent', 'simple', 'efficient', '.']",mount opponent simple efficient .
80,"['never', 'telegraph', 'attack/', 'nunca', 'telegrafe', 'attack']",never telegraph attack/ nunca telegrafe attack
81,"['sweep', 'open', 'guard', 'part', '1', '/', 'raspagem', 'com', 'guarda', 'aberta', 'parte', '1']",sweep open guard part 1 / raspagem com guarda aberta parte 1
82,"['jiu', 'jitsu', 'techniques', '-escape', 'pass', 'guard']",jiu jitsu techniques -escape pass guard
83,"['defende', 'hook', 'oponente', 'pass', 'guard', 'submit', 'darcy']",defende hook oponente pass guard submit darcy
84,"['spide', 'guard', 'sweep', 'fundamental']",spide guard sweep fundamental
85,"['jiu', 'jitsu', 'techniques', '-', 'double', 'attack', 'mount', 'scape']",jiu jitsu techniques - double attack mount scape
86,"['foot', 'lock', 'attack', 'delariva', 'guard']",foot lock attack delariva guard
87,"['triangle', 'hand', 'darce']",triangle hand darce
88,"['spider', 'guard', 'sweep', 'attack']",spider guard sweep attack
89,"['attack', 'guard', 'submission', 'back']",attack guard submission back
90,"['knee', 'belly', 'scape', '/', 'joelho', 'na', 'barriga', 'defesa']",knee belly scape / joelho na barriga defesa
91,"['half', 'guard', 'defense', ',', 'sweep', 'attack', 'back']","half guard defense , sweep attack back"
92,"['spider', 'guard', ',', 'lasso', 'lapel', 'choke']","spider guard , lasso lapel choke"
93,"['side', 'control', ',', 'head', 'lock', 'scape', ',', 'fundamental', 'class', 'part', '2']","side control , head lock scape , fundamental class part 2"
94,"['pass', 'guard', 'fundamental', 'part', '1']",pass guard fundamental part 1
95,"['sweep', 'submissions', 'guard']",sweep submissions guard
96,"['knee', 'belly', 'scape', 'defense']",knee belly scape defense
97,"['jiu-jitsu', 'technique', '-', 'arm', 'lock', 'attack', 'tip', 'guard']",jiu-jitsu technique - arm lock attack tip guard
98,"['jiu-jitsu', 'techniques', ',', 'mount', 'scape', 'half', 'guard', 'sweep', '.']","jiu-jitsu techniques , mount scape half guard sweep ."
99,"['jiu', 'jitsu', 'techniques', '-', 'escape', '50/50', 'guard', 'pass']",jiu jitsu techniques - escape 50/50 guard pass
100,"['side', 'control', 'attack', '-', 'clock', 'choke', 'ezequiel', 'opponent', ""'s"", 'lapel']",side control attack - clock choke ezequiel opponent 's lapel
101,"['arm', 'bar', 'spider', 'guard']",arm bar spider guard
102,"['jiu', 'jitsu', 'techniques', '-', 'side', 'control', 'attack']",jiu jitsu techniques - side control attack
103,"['sweep', 'open', 'guard']",sweep open guard
104,"['armbar', 'reversal', 'inside', 'guard']",armbar reversal inside guard
105,"['foot', 'lock', 'secrets', 'master', 'ricardo', 'gokor', 'ambaryan']",foot lock secrets master ricardo gokor ambaryan
106,"['jiu', 'jitsu', 'techniques', '-', 'de', 'la', 'riva', '-', 'knee', 'bar']",jiu jitsu techniques - de la riva - knee bar
107,"['december', '4', ',', '2016']","december 4 , 2016"
108,"['gary', 'alexander', '&', 'ricardo', 'cavalcanti', 'nogi']",gary alexander & ricardo cavalcanti nogi
109,"['jiu', 'jitsu', 'techniques', '-', 'baseball', 'choke', 'butterfly', 'guard']",jiu jitsu techniques - baseball choke butterfly guard
110,"['jiu/jitsu', 'technique', '-']",jiu/jitsu technique -
111,"['jiu', 'jitsu', 'techniques', '-', 'arm', 'bar', 'defense', 'attack', 'back', 'trap']",jiu jitsu techniques - arm bar defense attack back trap
112,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'opponent', 'back', 'try', 'take', 'single', 'leg']",jiu jitsu techniques - attack opponent back try take single leg
113,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'opponent', ""'s"", 'back', 'single', 'leg', 'defense']",jiu jitsu techniques - attack opponent 's back single leg defense
114,"['jiu', 'jitsu', 'techniques', '-', 'arm', 'bar', 'defense', 'attack', 'back', 'trap']",jiu jitsu techniques - arm bar defense attack back trap
115,"['jiu', 'jitsu', 'techniques', '-', 'close', 'guard', 'defense', '-', 'sargento', 'sweep', 'knee', 'bar']",jiu jitsu techniques - close guard defense - sargento sweep knee bar
116,"['jiu', 'jitsu', 'techniques', '-', 'baseball', 'choke', 'butterfly', 'guard']",jiu jitsu techniques - baseball choke butterfly guard
117,"['jiu', 'jitsu', 'techniques', '-', 'escape', '50/50', 'guard', 'pass']",jiu jitsu techniques - escape 50/50 guard pass
118,"['jiu', 'jitsu', 'techniques', '-', 'spider', 'guard', 'pass', '-', 'part', '1']",jiu jitsu techniques - spider guard pass - part 1
119,"['jiu', 'jitsu', 'techniques', '-', 'spider', 'guard', 'attack', '/', 'armlock', 'inside', 'guard']",jiu jitsu techniques - spider guard attack / armlock inside guard
120,"['jiu', 'jitsu', 'techniques', '-', 'berimbolo', 'guard', 'pass', 'attack', 'back']",jiu jitsu techniques - berimbolo guard pass attack back
121,"['jiu', 'jitsu', 'techniques', '-', 'americana', ',', 'wrist', 'lock', 'kimura', 'side', 'control']","jiu jitsu techniques - americana , wrist lock kimura side control"
122,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'four', '/', 'turtle', 'guard']",jiu jitsu techniques - triangle four / turtle guard
123,"['jiu-jitsu', 'position', '-', 'clock', 'armbar', 'side', 'control']",jiu-jitsu position - clock armbar side control
124,"['jiu', 'jitsu', 'techniques', '-', 'defense', '/', 'escape', 'knee', 'belly']",jiu jitsu techniques - defense / escape knee belly
125,"['jiu', 'jitsu', 'techniques', '-', 'wrist', 'lock', 'guard', 'pass']",jiu jitsu techniques - wrist lock guard pass
126,"['jiu', 'jitsu', 'techniques', '-', 'choke', '&', 'wrist', 'lock', 'close', 'guard']",jiu jitsu techniques - choke & wrist lock close guard
127,"['jiu', 'jitsu', 'techniques', '-', 'open', 'guard', 'pass']",jiu jitsu techniques - open guard pass
128,"['jiu', 'jitsu', 'techniques', '-', 'kata', 'gatame', 'drill', '/', 'attack', '/', 'defense']",jiu jitsu techniques - kata gatame drill / attack / defense
129,"['jiu', 'jitsu', 'techniques', '-', 'use', 'lapel', 'lapel', 'choke']",jiu jitsu techniques - use lapel lapel choke
130,"['jiu', 'jitsu', 'techniques', '-', 'worm', 'guard', 'sweep', 'triangle', 'arm', 'bar']",jiu jitsu techniques - worm guard sweep triangle arm bar
131,"['jiu', 'jitsu', 'techniques', '-', 'pass', 'guard', 'options']",jiu jitsu techniques - pass guard options
132,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'back', 'four', 'series', '-', 'part', '1']",jiu jitsu techniques - attack back four series - part 1
133,"['jiu', 'jitsu', 'techniques', '-', 'spider', 'gguard', 'pass']",jiu jitsu techniques - spider gguard pass
134,"['jiu', 'jitsu', 'techniques', '-', 'counter', 'bull', 'fighter', 'guard', 'pass']",jiu jitsu techniques - counter bull fighter guard pass
135,"['jiu', 'jitsu', 'techniques', '-', 'defend', 'old', 'school', 'smash', 'pass', 'guard']",jiu jitsu techniques - defend old school smash pass guard
136,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'spider', 'guard']",jiu jitsu techniques - attack spider guard
137,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'sweep', 'old', 'school', 'style']",jiu jitsu techniques - half guard sweep old school style
138,"['jiu', 'jitsu', 'techniques', '-', 'pass', 'butterfly', 'guard']",jiu jitsu techniques - pass butterfly guard
139,"['jiu', 'jitsu', 'techniques', '-', 'kimura', 'defense', 'north', 'south']",jiu jitsu techniques - kimura defense north south
140,"['jiu', 'jitsu', 'techniques', '-', 'deep', 'half', 'guard', 'submissions', ',', 'calf', 'lock', 'leg', 'lock']","jiu jitsu techniques - deep half guard submissions , calf lock leg lock"
141,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'pass']",jiu jitsu techniques - half guard pass
142,"['jiu', 'jitsu', 'techniques', '-', '50/50', 'defense', 'sweep', 'attack', 'opponents', 'back']",jiu jitsu techniques - 50/50 defense sweep attack opponents back
143,"['jiu', 'jitsu', 'techniques', '-', 'side', 'control', 'attack', ',', 'americana', ',', 'omoplata', ',', 'triangle', ',', 'armbar']","jiu jitsu techniques - side control attack , americana , omoplata , triangle , armbar"
144,"['jiu', 'jitsu', 'techniques', '-', 'half', 'guard', 'escape', 'heavy', 'opponent', '-', 'break', 'lapel', 'grip', '/', 'takedown']",jiu jitsu techniques - half guard escape heavy opponent - break lapel grip / takedown
145,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'butterfly', 'guard']",jiu jitsu techniques - triangle butterfly guard
146,"['jiu', 'jitsu', 'techniques', '-', 'escape', 'side', 'control', 'sean', 'roberts']",jiu jitsu techniques - escape side control sean roberts
147,"['jiu', 'jitsu', 'techniques', '-', 'de', 'la', 'riva', 'sweep', 'lasso', 'guard']",jiu jitsu techniques - de la riva sweep lasso guard
148,"['jiu', 'jitsu', 'techniques', '-', 'guard', 'pass', 'defense', 'old', 'school', 'carlson', 'gracie', 'style']",jiu jitsu techniques - guard pass defense old school carlson gracie style
149,"['jiu', 'jitsu', 'techniques', '-', 'triangle', 'attack', 'use', 'opponent', ""'s"", 'lapel']",jiu jitsu techniques - triangle attack use opponent 's lapel
150,"['jiu', 'jitsu', 'techniques', '-', 'lapel', 'choke', 'four', '/', 'turtle', 'guard']",jiu jitsu techniques - lapel choke four / turtle guard
151,"['jiu', 'jitsu', 'techniques', '-', 'arm', 'bar', 'side', 'control']",jiu jitsu techniques - arm bar side control
152,"['jiu', 'jitsu', 'techniques', '-', 'kimura', 'attack', 'guard', '/', 'side', 'control']",jiu jitsu techniques - kimura attack guard / side control
153,"['jiu', 'jitsu', 'techniques', '-', 'kimura', 'takedown', '/', 'attack']",jiu jitsu techniques - kimura takedown / attack
154,"['jiu', 'jitsu', 'techniques', '-standing', 'guard', 'pass', 'defense', '+', 'omoplata', 'armbar']",jiu jitsu techniques -standing guard pass defense + omoplata armbar
