,title,view_num,url,tokenized_title,detokenized_title
113,Fun Way To Learn The Darce Choke - The Bar Darce - by Jeff Glover,32000.0,https://www.youtube.com/watch?v=t6FiiticH3Y,"['fun', 'way', 'to', 'learn', 'darce', 'choke', '-', 'bar', 'darce', '-', 'jeff', 'glover']",fun way to learn darce choke - bar darce - jeff glover
238,How To Beat The Bigger Opponent: Butterfly Collar Drag To Arm Bar by Bruno Malfacine,13000.0,https://www.youtube.com/watch?v=aVURND0RiVg,"['to', 'beat', 'bigger', 'opponent', ':', 'butterfly', 'collar', 'drag', 'to', 'arm', 'bar', 'bruno', 'malfacine']",to beat bigger opponent : butterfly collar drag to arm bar bruno malfacine
240,Unexpected Arm Bar From Single Leg Half Guard by Renato Canuto,7000.0,https://www.youtube.com/watch?v=w0mApryt_6w,"['unexpected', 'arm', 'bar', 'from', 'single', 'leg', 'half', 'guard', 'renato', 'canuto']",unexpected arm bar from single leg half guard renato canuto
61,Great Leg Attack Sequence From 50/50 (Toe Hold & Knee Bar) by Tarsis Humphreys,5200.0,https://www.youtube.com/watch?v=MbQ5f8rQiTM,"['great', 'leg', 'attack', 'sequence', 'from', '50/50', '(', 'toe', 'hold', '&', 'knee', 'bar', ')', 'tarsis', 'humphreys']",great leg attack sequence from 50/50 ( toe hold & knee bar ) tarsis humphreys
0,The Hateful 8 Counters to Arm Bar Defense,5000.0,https://www.youtube.com/watch?v=H7kL_iELRa0,"['hateful', '8', 'counter', 'to', 'arm', 'bar', 'defense']",hateful 8 counter to arm bar defense
190,De La Riva Sweep to Arm Bar - Robson Moura - BJJ Weekly #33,58000.0,https://www.youtube.com/watch?v=AOpTeT3K35Q,"['de', 'la', 'riva', 'sweep', 'to', 'arm', 'bar', '-', 'robson', 'moura', '-', 'bjj', 'weekly', '#', '33']",de la riva sweep to arm bar - robson moura - bjj weekly # 33
107,Hannette Staack - Arm Bar from Guard for People Who Like to Win - BJJ Weekly #081,55000.0,https://www.youtube.com/watch?v=bqrtPTGm_Q8,"['hannette', 'staack', '-', 'arm', 'bar', 'from', 'guard', 'people', 'like', 'to', 'win', '-', 'bjj', 'weekly', '#', '081']",hannette staack - arm bar from guard people like to win - bjj weekly # 081
115,Vicente Junior - Arm Bar From Guard Modifications - BJJ Weekly #075,22000.0,https://www.youtube.com/watch?v=eqv2795Qw3k,"['vicente', 'junior', '-', 'arm', 'bar', 'from', 'guard', 'modifications', '-', 'bjj', 'weekly', '#', '075']",vicente junior - arm bar from guard modifications - bjj weekly # 075
175,BJJ Power Play - Arm Bar From Guard - Luigi Mondelli,15000.0,https://www.youtube.com/watch?v=mdF21ik40cY,"['bjj', 'power', 'play', '-', 'arm', 'bar', 'from', 'guard', '-', 'luigi', 'mondelli']",bjj power play - arm bar from guard - luigi mondelli
112,Chris Manuel - Knee Bar From Top Half Guard - BJJ Weekly #077,12000.0,https://www.youtube.com/watch?v=QsAZL_xufvQ,"['chris', 'manuel', '-', 'knee', 'bar', 'from', 'top', 'half', 'guard', '-', 'bjj', 'weekly', '#', '077']",chris manuel - knee bar from top half guard - bjj weekly # 077
105,Hannette Staack - Stuffing the Arm Bar for Smaller Fighters - BJJ Weekly #082,11000.0,https://www.youtube.com/watch?v=uknXNjKH3sU,"['hannette', 'staack', '-', 'stuff', 'arm', 'bar', 'smaller', 'fighters', '-', 'bjj', 'weekly', '#', '082']",hannette staack - stuff arm bar smaller fighters - bjj weekly # 082
158,Phil Migliarese - Yoga Hook to Arm Bar - BJJ Weekly #050,6900.0,https://www.youtube.com/watch?v=olHyOrMvMHc,"['phil', 'migliarese', '-', 'yoga', 'hook', 'to', 'arm', 'bar', '-', 'bjj', 'weekly', '#', '050']",phil migliarese - yoga hook to arm bar - bjj weekly # 050
110,Chris Manuel - Knee Bar to Toe Hold Transition - BJJ Weekly #078,6600.0,https://www.youtube.com/watch?v=YTTO4gqbjgY,"['chris', 'manuel', '-', 'knee', 'bar', 'to', 'toe', 'hold', 'transition', '-', 'bjj', 'weekly', '#', '078']",chris manuel - knee bar to toe hold transition - bjj weekly # 078
12,BJJ Weekly - Master's Mindset 006 - ARM BAR LOCK SERIES,2200.0,https://www.youtube.com/watch?v=AfnNcONNTaQ,"['bjj', 'weekly', '-', 'master', ""'s"", 'mindset', '006', '-', 'arm', 'bar', 'lock', 'series']",bjj weekly - master 's mindset 006 - arm bar lock series
737,Nogi Guard Arm Drag and Inverted Arm Bar,46000.0,https://www.youtube.com/watch?v=BieexTKhVH4,"['nogi', 'guard', 'arm', 'drag', 'invert', 'arm', 'bar']",nogi guard arm drag invert arm bar
151,Jiu Jitsu Techniques - Arm Bar from Side Control,27000.0,https://www.youtube.com/watch?v=Ft3Te1KbvOA,"['jiu', 'jitsu', 'techniques', '-', 'arm', 'bar', 'from', 'side', 'control']",jiu jitsu techniques - arm bar from side control
186,Jiu Jitsu Techniques - Knee Bar / Foot Lock,22000.0,https://www.youtube.com/watch?v=FJ1JmoKIaY0,"['jiu', 'jitsu', 'techniques', '-', 'knee', 'bar', '/', 'foot', 'lock']",jiu jitsu techniques - knee bar / foot lock
114,Jiu Jitsu Techniques - Arm Bar Defense and Attack The Back Trap,16000.0,https://www.youtube.com/watch?v=dCeqX8GOOeM,"['jiu', 'jitsu', 'techniques', '-', 'arm', 'bar', 'defense', 'attack', 'back', 'trap']",jiu jitsu techniques - arm bar defense attack back trap
115,Jiu Jitsu Techniques - Closed Guard Defense - Sargento Sweep and Knee Bar,15000.0,https://www.youtube.com/watch?v=SCXugG9fbFw,"['jiu', 'jitsu', 'techniques', '-', 'close', 'guard', 'defense', '-', 'sargento', 'sweep', 'knee', 'bar']",jiu jitsu techniques - close guard defense - sargento sweep knee bar
296,Jiu Jitsu - Knee on Belly Defense / Knee Bar,14000.0,https://www.youtube.com/watch?v=5LDtbcpZF00,"['jiu', 'jitsu', '-', 'knee', 'on', 'belly', 'defense', '/', 'knee', 'bar']",jiu jitsu - knee on belly defense / knee bar
130,Jiu Jitsu Techniques - Worm Guard Sweep with Triangle and Arm Bar,7700.0,https://www.youtube.com/watch?v=S2ixarrRyIM,"['jiu', 'jitsu', 'techniques', '-', 'worm', 'guard', 'sweep', 'triangle', 'arm', 'bar']",jiu jitsu techniques - worm guard sweep triangle arm bar
284,Brazilian Jiu-Jitsu Technique - Knee Bar From Half Guard,5200.0,https://www.youtube.com/watch?v=dkjW2Iaav18,"['brazilian', 'jiu-jitsu', 'technique', '-', 'knee', 'bar', 'from', 'half', 'guard']",brazilian jiu-jitsu technique - knee bar from half guard
101,Arm Bar from spider guard,5200.0,https://www.youtube.com/watch?v=dzQmSLD7ePY,"['arm', 'bar', 'from', 'spider', 'guard']",arm bar from spider guard
202,Jiu Jitsu Techniques - Sweep From De La Riva / Knee Bar,4100.0,https://www.youtube.com/watch?v=AYcOGcWFr_g,"['jiu', 'jitsu', 'techniques', '-', 'sweep', 'from', 'de', 'la', 'riva', '/', 'knee', 'bar']",jiu jitsu techniques - sweep from de la riva / knee bar
298,Spider Guard Defense / Knee bar - Jiu Jitsu,4000.0,https://www.youtube.com/watch?v=L027ZI3RNOk,"['spider', 'guard', 'defense', '/', 'knee', 'bar', '-', 'jiu', 'jitsu']",spider guard defense / knee bar - jiu jitsu
106,Jiu Jitsu Techniques - De La Riva - Knee Bar,3800.0,https://www.youtube.com/watch?v=43f5lNT1hpU,"['jiu', 'jitsu', 'techniques', '-', 'de', 'la', 'riva', '-', 'knee', 'bar']",jiu jitsu techniques - de la riva - knee bar
111,Jiu Jitsu Techniques - arm bar defense and attack the back trap,2000.0,https://www.youtube.com/watch?v=to7aLqf6o7A,"['jiu', 'jitsu', 'techniques', '-', 'arm', 'bar', 'defense', 'attack', 'back', 'trap']",jiu jitsu techniques - arm bar defense attack back trap
173,The Most painful arm bar you can imagine,11000.0,https://www.youtube.com/watch?v=mjvvEN5s7tA,"['painful', 'arm', 'bar', 'imagine']",painful arm bar imagine
57,This Drill Will Up Your Arm Bar Game Quickly,6300.0,https://www.youtube.com/watch?v=H_MkXHuhJ00,"['drill', 'up', 'arm', 'bar', 'game', 'quickly']",drill up arm bar game quickly
64,Get Ready to Arm Bar Everyone in the Gym With This Effective Technique,5600.0,https://www.youtube.com/watch?v=TGWGneDI-a0,"['get', 'ready', 'to', 'arm', 'bar', 'everyone', 'in', 'gym', 'effective', 'technique']",get ready to arm bar everyone in gym effective technique
