,title,view_num,url,tokenized_title,detokenized_title
206,How To Do The Perfect Triangle Choke Even If You Have Short Legs by John Danaher,320000.0,https://www.youtube.com/watch?v=LDE0fkzZT6I,"['to', 'perfect', 'triangle', 'choke', 'even', 'short', 'legs', 'john', 'danaher']",to perfect triangle choke even short legs john danaher
78,How To Perform The Perfect Rear Naked Choke by John Danaher,130000.0,https://www.youtube.com/watch?v=l8-JI7NND3E,"['to', 'perform', 'perfect', 'rear', 'naked', 'choke', 'john', 'danaher']",to perform perfect rear naked choke john danaher
107,3 BJJ Chokes That Everybody Should Know by Lachlan Giles (Amazing Details),120000.0,https://www.youtube.com/watch?v=LhB7Y7LAig0,"['3', 'bjj', 'choke', 'everybody', 'know', 'lachlan', 'giles', '(', 'amaze', 'detail', ')']",3 bjj choke everybody know lachlan giles ( amaze detail )
404,The Tightest Reverse Triangle Choke by Braulio Estima,89000.0,https://www.youtube.com/watch?v=2lCqmpZMhoI,"['tightest', 'reverse', 'triangle', 'choke', 'braulio', 'estima']",tightest reverse triangle choke braulio estima
50,How To Perfect Your North South Choke by Marcelo Garcia,73000.0,https://www.youtube.com/watch?v=VkI7wuhN2Ps,"['to', 'perfect', 'north', 'south', 'choke', 'marcelo', 'garcia']",to perfect north south choke marcelo garcia
288,The Side Control Loop Choke By Kurt Osiander,72000.0,https://www.youtube.com/watch?v=_Hd_uqGqYjI,"['side', 'control', 'loop', 'choke', 'kurt', 'osiander']",side control loop choke kurt osiander
185,How To Do The Tightest Darce Choke by Edwin Najmi,59000.0,https://www.youtube.com/watch?v=0Dx5Ecj2yV4,"['to', 'tightest', 'darce', 'choke', 'edwin', 'najmi']",to tightest darce choke edwin najmi
328,Invisible Choke From Side Control by Tom Oberhue,49000.0,https://www.youtube.com/watch?v=rjP4GvxTO6s,"['invisible', 'choke', 'from', 'side', 'control', 'tom', 'oberhue']",invisible choke from side control tom oberhue
258,Von Flue Choke by James Clingerman,38000.0,https://www.youtube.com/watch?v=8-spDes3hnE,"['von', 'flue', 'choke', 'jam', 'clingerman']",von flue choke jam clingerman
446,Armbar From North South Choke by Paul Schreiner,36000.0,https://www.youtube.com/watch?v=6R4hlTfrFKA,"['armbar', 'from', 'north', 'south', 'choke', 'paul', 'schreiner']",armbar from north south choke paul schreiner
384,Crazy Lapel Choke From A Purple Belt,36000.0,https://www.youtube.com/watch?v=B2WRuZX1jt8,"['crazy', 'lapel', 'choke', 'from', 'purple', 'belt']",crazy lapel choke from purple belt
12,3 Most Important Jiu Jitsu Strangles (Chokes) by John Danaher,33000.0,https://www.youtube.com/watch?v=Izvp9TAmAxs,"['3', 'important', 'jiu', 'jitsu', 'strangle', '(', 'choke', ')', 'john', 'danaher']",3 important jiu jitsu strangle ( choke ) john danaher
