,title,view_num,url,tokenized_title,detokenized_title
307,BJJ Workout With Kettlebell - How To Do It Properly by Mike Perry,24000.0,https://www.youtube.com/watch?v=QkXOHbbyA6w,"['bjj', 'workout', 'kettlebell', '-', 'to', 'properly', 'mike', 'perry']",bjj workout kettlebell - to properly mike perry
418,Spider Guard Drills by Rehan Muttalib,12000.0,https://www.youtube.com/watch?v=0feitwQw888,"['spider', 'guard', 'drill', 'rehan', 'muttalib']",spider guard drill rehan muttalib
308,Bjj Workout At Home (With Kettlebell),11000.0,https://www.youtube.com/watch?v=KrWzui5ZK5w,"['bjj', 'workout', 'home', '(', 'kettlebell', ')']",bjj workout home ( kettlebell )
186,Drilling From Knee Shield by Tom Deblass,8800.0,https://www.youtube.com/watch?v=t-kzOYzXBuA,"['drill', 'from', 'knee', 'shield', 'tom', 'deblass']",drill from knee shield tom deblass
11,Open Guard Concepts and Drills to Revolutionize Your Guard Game,23000.0,https://www.youtube.com/watch?v=3jMimfNdQk8,"['open', 'guard', 'concepts', 'drill', 'to', 'revolutionize', 'guard', 'game']",open guard concepts drill to revolutionize guard game
147,Emily Kwok - BJJ Mount Flow Drills - BJJ Weekly #055,80000.0,https://www.youtube.com/watch?v=wDS_rFEg2Tg,"['emily', 'kwok', '-', 'bjj', 'mount', 'flow', 'drill', '-', 'bjj', 'weekly', '#', '055']",emily kwok - bjj mount flow drill - bjj weekly # 055
135,Ryron Gracie - Arm Lock Switch Drill - Drill for Skill - BJJ Weekly #062,59000.0,https://www.youtube.com/watch?v=vu4P66PqZyM,"['ryron', 'gracie', '-', 'arm', 'lock', 'switch', 'drill', '-', 'drill', 'skill', '-', 'bjj', 'weekly', '#', '062']",ryron gracie - arm lock switch drill - drill skill - bjj weekly # 062
133,Ryron Gracie - Mount Switch Drill - Drill for Skill - BJJ Weekly #063,31000.0,https://www.youtube.com/watch?v=7FK0Yllo-LA,"['ryron', 'gracie', '-', 'mount', 'switch', 'drill', '-', 'drill', 'skill', '-', 'bjj', 'weekly', '#', '063']",ryron gracie - mount switch drill - drill skill - bjj weekly # 063
44,Drill for Skill - BJJ Guard Passing Transition Drill - BJJ Weekly Issue #117,21000.0,https://www.youtube.com/watch?v=cpAPTXfrtGw,"['drill', 'skill', '-', 'bjj', 'guard', 'pass', 'transition', 'drill', '-', 'bjj', 'weekly', 'issue', '#', '117']",drill skill - bjj guard pass transition drill - bjj weekly issue # 117
25,Cartwheel Guard Transition - Drill for Skill - BJJ Weekly #128,19000.0,https://www.youtube.com/watch?v=xRUWJl1SNqY,"['cartwheel', 'guard', 'transition', '-', 'drill', 'skill', '-', 'bjj', 'weekly', '#', '128']",cartwheel guard transition - drill skill - bjj weekly # 128
33,Drill For Skill - Transitional Guard Passing - BJJ Weekly #123,17000.0,https://www.youtube.com/watch?v=IWpZdgs_vpM,"['drill', 'skill', '-', 'transitional', 'guard', 'pass', '-', 'bjj', 'weekly', '#', '123']",drill skill - transitional guard pass - bjj weekly # 123
28,Knee On Belly - Drill For Skill - BJJ Weekly #126,16000.0,https://www.youtube.com/watch?v=-mFt3mf3530,"['knee', 'on', 'belly', '-', 'drill', 'skill', '-', 'bjj', 'weekly', '#', '126']",knee on belly - drill skill - bjj weekly # 126
46,Arm Drag - Drill For Skill - Issue #116,13000.0,https://www.youtube.com/watch?v=3iZkEYs4x4I,"['arm', 'drag', '-', 'drill', 'skill', '-', 'issue', '#', '116']",arm drag - drill skill - issue # 116
36,Tornado Drill - Drill for Skill - BJJ Weekly Issue #122,12000.0,https://www.youtube.com/watch?v=OQSw2wjlaU8,"['tornado', 'drill', '-', 'drill', 'skill', '-', 'bjj', 'weekly', 'issue', '#', '122']",tornado drill - drill skill - bjj weekly issue # 122
30,Half Nelson Underhook  Drill - BJJ Weekly #125,11000.0,https://www.youtube.com/watch?v=a8dSQih-Yjc,"['half', 'nelson', 'underhook', 'drill', '-', 'bjj', 'weekly', '#', '125']",half nelson underhook drill - bjj weekly # 125
38,Star Sweep - Drill for Skill - BJJ Weekly Issue #120,11000.0,https://www.youtube.com/watch?v=B7RPOfhWpXc,"['star', 'sweep', '-', 'drill', 'skill', '-', 'bjj', 'weekly', 'issue', '#', '120']",star sweep - drill skill - bjj weekly issue # 120
41,Partner Triangle - Drill for Skill - BJJ Weekly Issue #118,9400.0,https://www.youtube.com/watch?v=xeE5KBEnBOE,"['partner', 'triangle', '-', 'drill', 'skill', '-', 'bjj', 'weekly', 'issue', '#', '118']",partner triangle - drill skill - bjj weekly issue # 118
39,Grip Breaks - Drill for Skill - BJJ Weekly Issue #119,8600.0,https://www.youtube.com/watch?v=xaly691P9w4,"['grip', 'break', '-', 'drill', 'skill', '-', 'bjj', 'weekly', 'issue', '#', '119']",grip break - drill skill - bjj weekly issue # 119
8,BJJ Weekly - DRILL FOR SKILL 008 - Double Leg Drill,3200.0,https://www.youtube.com/watch?v=u_wKVJA9Vi8,"['bjj', 'weekly', '-', 'drill', 'skill', '008', '-', 'double', 'leg', 'drill']",bjj weekly - drill skill 008 - double leg drill
17,BJJ Weekly - DRILL FOR SKILL 004 - Ankle Pick,1900.0,https://www.youtube.com/watch?v=SuIOFYVfVes,"['bjj', 'weekly', '-', 'drill', 'skill', '004', '-', 'ankle', 'pick']",bjj weekly - drill skill 004 - ankle pick
15,BJJ Weekly - DRILL FOR SKILL 005 - LEG DRAG (Action/Reaction),1900.0,https://www.youtube.com/watch?v=HgbZSoHlCg8,"['bjj', 'weekly', '-', 'drill', 'skill', '005', '-', 'leg', 'drag', '(', 'action/reaction', ')']",bjj weekly - drill skill 005 - leg drag ( action/reaction )
21,Drill For Skill  001 - BJJ Weekly IS BACK!,1800.0,https://www.youtube.com/watch?v=_AQM5zNTJ4I,"['drill', 'skill', '001', '-', 'bjj', 'weekly', 'back', '!']",drill skill 001 - bjj weekly back !
6,BJJ Weekly - DRILL FOR SKILL 009 - Tripod drill,1700.0,https://www.youtube.com/watch?v=7YQmdLYq94c,"['bjj', 'weekly', '-', 'drill', 'skill', '009', '-', 'tripod', 'drill']",bjj weekly - drill skill 009 - tripod drill
