,title,view_num,url,tokenized_title,detokenized_title
162,How To Do The Perfect BJJ Side Control Escape by John Danaher,350000.0,https://www.youtube.com/watch?v=cuXq-k__9lQ,"['to', 'perfect', 'bjj', 'side', 'control', 'escape', 'john', 'danaher']",to perfect bjj side control escape john danaher
155,How To Do The Perfect BJJ Mount Escape by John Danaher,230000.0,https://www.youtube.com/watch?v=EMEueexp9zU,"['to', 'perfect', 'bjj', 'mount', 'escape', 'john', 'danaher']",to perfect bjj mount escape john danaher
344,Side Control Escape Against A Bigger Opponent by Fabio Gurgel,60000.0,https://www.youtube.com/watch?v=n0-UmQoT3Lo,"['side', 'control', 'escape', 'against', 'bigger', 'opponent', 'fabio', 'gurgel']",side control escape against bigger opponent fabio gurgel
409,Omoplata Escapes by Dean Lister,35000.0,https://www.youtube.com/watch?v=hMMn5jt-fsI,"['omoplata', 'escape', 'dean', 'lister']",omoplata escape dean lister
104,Escaping The Outside Heel Hook by Garry Tonon,25000.0,https://www.youtube.com/watch?v=X8KfQdRYZdQ,"['escape', 'outside', 'heel', 'hook', 'garry', 'tonon']",escape outside heel hook garry tonon
97,Jiu Jitsu Escapes | The Main Concept That Everyone Should Know by Fabio Gurgel,16000.0,https://www.youtube.com/watch?v=3c0CDBhpZrw,"['jiu', 'jitsu', 'escape', '|', 'main', 'concept', 'everyone', 'know', 'fabio', 'gurgel']",jiu jitsu escape | main concept everyone know fabio gurgel
90,How To Escape From The Honey Hole (Heel Hook) by Kyle Boehm,11000.0,https://www.youtube.com/watch?v=ZXdWbBOlaqY,"['to', 'escape', 'from', 'honey', 'hole', '(', 'heel', 'hook', ')', 'kyle', 'boehm']",to escape from honey hole ( heel hook ) kyle boehm
353,Side Control Escape by Nick Tissue,9900.0,https://www.youtube.com/watch?v=fk7_-XXYswI,"['side', 'control', 'escape', 'nick', 'tissue']",side control escape nick tissue
184,Side Control Escape Going To The Back With Tom Scala,7500.0,https://www.youtube.com/watch?v=NopPf81ptrg,"['side', 'control', 'escape', 'go', 'to', 'back', 'tom', 'scala']",side control escape go to back tom scala
173,Back Control Escape Going To The Deep Half Guard by Jake Mackenzie,6000.0,https://www.youtube.com/watch?v=lc7EH1u2LVg,"['back', 'control', 'escape', 'go', 'to', 'deep', 'half', 'guard', 'jake', 'mackenzie']",back control escape go to deep half guard jake mackenzie
474,How To Do The Front Hip Escape,4500.0,https://www.youtube.com/watch?v=S75W1zK__nI,"['to', 'front', 'hip', 'escape']",to front hip escape
451,Bernardo Faria's Guillotine Escape,3400.0,https://www.youtube.com/watch?v=e9Fvxdiu4uM,"['bernardo', 'faria', ""'s"", 'guillotine', 'escape']",bernardo faria 's guillotine escape
48,Everything You Ever Wanted to Know About Side Control Escapes (but didn't know how to ask),100000.0,https://www.youtube.com/watch?v=8F6meOljv-s,"['everything', 'ever', 'want', 'to', 'know', 'side', 'control', 'escape', '(', ""n't"", 'know', 'to', 'ask', ')']",everything ever want to know side control escape ( n't know to ask )
41,Knee In Belly Escapes,34000.0,https://www.youtube.com/watch?v=At5h90jKiu8,"['knee', 'in', 'belly', 'escape']",knee in belly escape
39,North South Escapes System,30000.0,https://www.youtube.com/watch?v=QL3_w8Td8Ls,"['north', 'south', 'escape', 'system']",north south escape system
47,Mount Escape Flows,22000.0,https://www.youtube.com/watch?v=sn_OWQexKKg,"['mount', 'escape', 'flow']",mount escape flow
38,Basic Back Escapes,22000.0,https://www.youtube.com/watch?v=hg4oUIyT4ng,"['basic', 'back', 'escape']",basic back escape
40,Scarf (kesa gatame) Escapes,10000.0,https://www.youtube.com/watch?v=4i0f8kFn60U,"['scarf', '(', 'kesa', 'gatame', ')', 'escape']",scarf ( kesa gatame ) escape
114,Mount Survival and Mount Elbow Escape (Jiu Jitsu Univ Ch 3 and 7-1),100000.0,https://www.youtube.com/watch?v=h9JU07gGGZE,"['mount', 'survival', 'mount', 'elbow', 'escape', '(', 'jiu', 'jitsu', 'univ', 'ch', '3', '7-1', ')']",mount survival mount elbow escape ( jiu jitsu univ ch 3 7-1 )
112,Armbar Escape from Guard (Saulo Ribeiro - BJJLibrary.com),82000.0,https://www.youtube.com/watch?v=qO6XeabbMgA,"['armbar', 'escape', 'from', 'guard', '(', 'saulo', 'ribeiro', '-', 'bjjlibrary.com', ')']",armbar escape from guard ( saulo ribeiro - bjjlibrary.com )
140,Roy Dean - Pathway to Escape Side Control - BJJ Weekly #059,390000.0,https://www.youtube.com/watch?v=I3clyVNfjXg,"['roy', 'dean', '-', 'pathway', 'to', 'escape', 'side', 'control', '-', 'bjj', 'weekly', '#', '059']",roy dean - pathway to escape side control - bjj weekly # 059
