,title,view_num,url,tokenized_title,detokenized_title
130,How To Build The Perfect Half Guard Game by John Danaher,220000.0,https://www.youtube.com/watch?v=E8x1Cva8hJ8,"['to', 'build', 'perfect', 'half', 'guard', 'game', 'john', 'danaher']",to build perfect half guard game john danaher
63,Mastering The Rubber Guard by Eddie Bravo,150000.0,https://www.youtube.com/watch?v=RJ7Iutti8cY,"['master', 'rubber', 'guard', 'eddie', 'bravo']",master rubber guard eddie bravo
140,How To Do Perfect Guard Retention In BJJ by John Danaher,140000.0,https://www.youtube.com/watch?v=ce_0XT1BBQA,"['to', 'perfect', 'guard', 'retention', 'in', 'bjj', 'john', 'danaher']",to perfect guard retention in bjj john danaher
143,Understanding The Closed Guard by Gordon Ryan,130000.0,https://www.youtube.com/watch?v=nU9YxDabnSU,"['understand', 'close', 'guard', 'gordon', 'ryan']",understand close guard gordon ryan
96,The Shoulder Crunch Sumi Gaeshi Sweep From Butterfly Guard by Gordon Ryan (ADCC 2019 Breakdown),120000.0,https://www.youtube.com/watch?v=VFbUih8C-Lk,"['shoulder', 'crunch', 'sumi', 'gaeshi', 'sweep', 'from', 'butterfly', 'guard', 'gordon', 'ryan', '(', 'adcc', '2019', 'breakdown', ')']",shoulder crunch sumi gaeshi sweep from butterfly guard gordon ryan ( adcc 2019 breakdown )
109,How To Build The Perfect BJJ Closed Guard Game by John Danaher,120000.0,https://www.youtube.com/watch?v=otskR_OjuBU,"['to', 'build', 'perfect', 'bjj', 'close', 'guard', 'game', 'john', 'danaher']",to build perfect bjj close guard game john danaher
64,BJJ Butterfly Guard - Most Important Principles by Marcelo Garcia,100000.0,https://www.youtube.com/watch?v=0WG1MYvgXAM,"['bjj', 'butterfly', 'guard', '-', 'important', 'principles', 'marcelo', 'garcia']",bjj butterfly guard - important principles marcelo garcia
167,One Of The Best BJJ Half Guard Sweeps (The Coyote Half Guard) by Lucas Leite,88000.0,https://www.youtube.com/watch?v=INqZhKrlNKk,"['one', 'best', 'bjj', 'half', 'guard', 'sweep', '(', 'coyote', 'half', 'guard', ')', 'lucas', 'leite']",one best bjj half guard sweep ( coyote half guard ) lucas leite
309,5 Tips To Improve Your Half Guard by Bernardo Faria & Tom Deblass,88000.0,https://www.youtube.com/watch?v=ZPrmnK1cWjI,"['5', 'tip', 'to', 'improve', 'half', 'guard', 'bernardo', 'faria', '&', 'tom', 'deblass']",5 tip to improve half guard bernardo faria & tom deblass
83,Understanding The Open Guard In BJJ by John Danaher,87000.0,https://www.youtube.com/watch?v=Fcg4mtegux0,"['understand', 'open', 'guard', 'in', 'bjj', 'john', 'danaher']",understand open guard in bjj john danaher
89,Understanding The Jiu Jitsu Open Guard by Gordon Ryan,59000.0,https://www.youtube.com/watch?v=LPet-GrNNB8,"['understand', 'jiu', 'jitsu', 'open', 'guard', 'gordon', 'ryan']",understand jiu jitsu open guard gordon ryan
18,The Most Basic Principles Of Butterfly And Open Guard by Gordon Ryan,48000.0,https://www.youtube.com/watch?v=MXcQfCIh7n4,"['basic', 'principles', 'butterfly', 'open', 'guard', 'gordon', 'ryan']",basic principles butterfly open guard gordon ryan
148,Understanding The Butterfly Guard by Jonathan Satava,47000.0,https://www.youtube.com/watch?v=P0Fz-64lAs4,"['understand', 'butterfly', 'guard', 'jonathan', 'satava']",understand butterfly guard jonathan satava
285,Gogoplata From Rubber Guard by Eddie Bravo's Black Belt Brandon Mccaghren,46000.0,https://www.youtube.com/watch?v=wn39-wrfsbs,"['gogoplata', 'from', 'rubber', 'guard', 'eddie', 'bravo', ""'s"", 'black', 'belt', 'brandon', 'mccaghren']",gogoplata from rubber guard eddie bravo 's black belt brandon mccaghren
101,How To Sweep Wrestlers From BJJ Half Guard by Lachlan Giles,45000.0,https://www.youtube.com/watch?v=rNxVLwBrhsY,"['to', 'sweep', 'wrestlers', 'from', 'bjj', 'half', 'guard', 'lachlan', 'giles']",to sweep wrestlers from bjj half guard lachlan giles
