,title,view_num,url,tokenized_title,detokenized_title
194,Gordon Ryan Explains His Guard Passing System,160000.0,https://www.youtube.com/watch?v=RvgT17Xri5g,"['gordon', 'ryan', 'explain', 'guard', 'pass', 'system']",gordon ryan explain guard pass system
65,5 Tips To Pass ANY Guard by John Danaher,150000.0,https://www.youtube.com/watch?v=ODuQCA88oY4,"['5', 'tip', 'to', 'pass', 'guard', 'john', 'danaher']",5 tip to pass guard john danaher
132,How To Never Get Your BJJ Guard Passed by Xande Ribeiro,140000.0,https://www.youtube.com/watch?v=e86MOTgrzgs,"['to', 'never', 'get', 'bjj', 'guard', 'pass', 'xande', 'ribeiro']",to never get bjj guard pass xande ribeiro
397,The Best Knee Cut Pass by Lucas Lepri,130000.0,https://www.youtube.com/watch?v=3IqCi1GXmOg,"['best', 'knee', 'cut', 'pass', 'lucas', 'lepri']",best knee cut pass lucas lepri
370,Half Guard Frame - How To Prevent The Guard Pass by Tom Deblass,81000.0,https://www.youtube.com/watch?v=lhkkgA4K6o8,"['half', 'guard', 'frame', '-', 'to', 'prevent', 'guard', 'pass', 'tom', 'deblass']",half guard frame - to prevent guard pass tom deblass
105,5 Tips To Pass Any Guard No Gi by Lachlan Giles,61000.0,https://www.youtube.com/watch?v=Zp9O6YpHKeE,"['5', 'tip', 'to', 'pass', 'guard', 'gi', 'lachlan', 'giles']",5 tip to pass guard gi lachlan giles
81,Very Efficient Knee Cut BJJ Guard Passing No Gi by JT Torres,40000.0,https://www.youtube.com/watch?v=F1Nd4MmLuDk,"['efficient', 'knee', 'cut', 'bjj', 'guard', 'pass', 'gi', 'jt', 'torres']",efficient knee cut bjj guard pass gi jt torres
94,The Best BJJ Concepts To Pass Any Guard by André Galvão,39000.0,https://www.youtube.com/watch?v=836JWqonl4Y,"['best', 'bjj', 'concepts', 'to', 'pass', 'guard', 'andré', 'galvão']",best bjj concepts to pass guard andré galvão
414,Over Under Pass By Jimmy Pedro,33000.0,https://www.youtube.com/watch?v=Q09MS_Z5pXk,"['pass', 'jimmy', 'pedro']",pass jimmy pedro
106,The Cart Wheel BJJ Guard Pass by Nick Rodriguez,29000.0,https://www.youtube.com/watch?v=ZVD58KZ609A,"['cart', 'wheel', 'bjj', 'guard', 'pass', 'nick', 'rodriguez']",cart wheel bjj guard pass nick rodriguez
165,How To Pass The Closed Guard Using The Sao Paulo Pass by Leonardo Nogueira,25000.0,https://www.youtube.com/watch?v=r3oI5TvaWg0,"['to', 'pass', 'close', 'guard', 'use', 'sao', 'paulo', 'pass', 'leonardo', 'nogueira']",to pass close guard use sao paulo pass leonardo nogueira
34,How To Do The Perfect Jiu Jitsu Half Guard Passing by John Danaher,25000.0,https://www.youtube.com/watch?v=Jz4oLDOHxLM,"['to', 'perfect', 'jiu', 'jitsu', 'half', 'guard', 'pass', 'john', 'danaher']",to perfect jiu jitsu half guard pass john danaher
