,title,view_num,url,tokenized_title,detokenized_title
72,Jiu Jitsu vs Wrestling - Understanding Turtle Position by Gordon Ryan,54000.0,https://www.youtube.com/watch?v=A8JVwd_OoSY,"['jiu', 'jitsu', 'vs', 'wrestle', '-', 'understand', 'turtle', 'position', 'gordon', 'ryan']",jiu jitsu vs wrestle - understand turtle position gordon ryan
126,37 Different Wrist Locks From Every Position by Pete The Greek,30000.0,https://www.youtube.com/watch?v=jyJX58s0I4c,"['37', 'different', 'wrist', 'lock', 'from', 'every', 'position', 'pete', 'greek']",37 different wrist lock from every position pete greek
39,The Most Deadly Grappling Choke From The Cradle Position by Neil Melanson,26000.0,https://www.youtube.com/watch?v=xm1XKIxVw20,"['deadly', 'grapple', 'choke', 'from', 'cradle', 'position', 'neil', 'melanson']",deadly grapple choke from cradle position neil melanson
121,BJJ Guard Passing - The Headquarters Position by Rafael Lovato Jr.,17000.0,https://www.youtube.com/watch?v=grRK1_erIf8,"['bjj', 'guard', 'pass', '-', 'headquarter', 'position', 'rafael', 'lovato', 'jr', '.']",bjj guard pass - headquarter position rafael lovato jr .
458,The Most Dangerous Position In BJJ by Bernardo Faria,16000.0,https://www.youtube.com/watch?v=UEDuDkD8O34,"['dangerous', 'position', 'in', 'bjj', 'bernardo', 'faria']",dangerous position in bjj bernardo faria
192,How To Finish The Armbar From The Turtle Position by Kazushi Sakuraba,10000.0,https://www.youtube.com/watch?v=R52TIRL3-ls,"['to', 'finish', 'armbar', 'from', 'turtle', 'position', 'kazushi', 'sakuraba']",to finish armbar from turtle position kazushi sakuraba
58,From BJJ Turtle Position To Kneebar by Tarsis Humphreys,7500.0,https://www.youtube.com/watch?v=53YO8DBAgOA,"['from', 'bjj', 'turtle', 'position', 'to', 'kneebar', 'tarsis', 'humphreys']",from bjj turtle position to kneebar tarsis humphreys
45,Old School Posture - Half Guard Bottom Position,8900.0,https://www.youtube.com/watch?v=H4Wy7vcy8hU,"['old', 'school', 'posture', '-', 'half', 'guard', 'bottom', 'position']",old school posture - half guard bottom position
6,The Ninth Position - BJJ,4000.0,https://www.youtube.com/watch?v=V-59KNb4j00,"['ninth', 'position', '-', 'bjj']",ninth position - bjj
101,De la Riva Guard Pass - Headquarters Position or Shin Pressure by Saulo Ribeiro,110000.0,https://www.youtube.com/watch?v=iLXmD9Us7vc,"['de', 'la', 'riva', 'guard', 'pass', '-', 'headquarter', 'position', 'shin', 'pressure', 'saulo', 'ribeiro']",de la riva guard pass - headquarter position shin pressure saulo ribeiro
372,Alamo Roll vs 3 Double Under Positions,1600.0,https://www.youtube.com/watch?v=dbh3tXoDg54,"['alamo', 'roll', 'vs', '3', 'double', 'position']",alamo roll vs 3 double position
146,Knee Positions and Kimura,443.0,https://www.youtube.com/watch?v=-cvae8MM6VU,"['knee', 'position', 'kimura']",knee position kimura
123,Jiu-Jitsu Position - CLOCK ARMBAR FROM SIDE CONTROL,8000.0,https://www.youtube.com/watch?v=cdAKWOqaf0Q,"['jiu-jitsu', 'position', '-', 'clock', 'armbar', 'from', 'side', 'control']",jiu-jitsu position - clock armbar from side control
319,Position of the week - Guard Pass Defense + Spider Guard Sweep,5400.0,https://www.youtube.com/watch?v=nv6vcEZB-Y8,"['position', 'week', '-', 'guard', 'pass', 'defense', '+', 'spider', 'guard', 'sweep']",position week - guard pass defense + spider guard sweep
334,Position of the week with Ricardo Cavalcanti 8/27/10,2700.0,https://www.youtube.com/watch?v=9yF8Fq4UNYs,"['position', 'week', 'ricardo', 'cavalcanti', '8/27/10']",position week ricardo cavalcanti 8/27/10
336,Position of the week with Ricardo Cavalcanti 8/13/10,2700.0,https://www.youtube.com/watch?v=iH2MM_IZnrI,"['position', 'week', 'ricardo', 'cavalcanti', '8/13/10']",position week ricardo cavalcanti 8/13/10
332,Position of the week with Ricardo Cavalcanti 9/10/10,2100.0,https://www.youtube.com/watch?v=0kykbsLqZZI,"['position', 'week', 'ricardo', 'cavalcanti', '9/10/10']",position week ricardo cavalcanti 9/10/10
331,Position of the week with Ricardo Cavalcanti 9/17/10,2100.0,https://www.youtube.com/watch?v=gvKgv75GQaM,"['position', 'week', 'ricardo', 'cavalcanti', '9/17/10']",position week ricardo cavalcanti 9/17/10
320,Position of the week with Ricardo Cavalcanti 11/29/10,2000.0,https://www.youtube.com/watch?v=XQjEV2RupG8,"['position', 'week', 'ricardo', 'cavalcanti', '11/29/10']",position week ricardo cavalcanti 11/29/10
337,Position of the week with Ricardo Cavalcanti 8/6/10,2000.0,https://www.youtube.com/watch?v=l2CM7n7-OwA,"['position', 'week', 'ricardo', 'cavalcanti', '8/6/10']",position week ricardo cavalcanti 8/6/10
333,Position of the week with Ricardo Cavalcanti 9/3/10,1900.0,https://www.youtube.com/watch?v=1mu0PW9enLM,"['position', 'week', 'ricardo', 'cavalcanti', '9/3/10']",position week ricardo cavalcanti 9/3/10
335,Position of the week with Ricardo Cavalcanti 8/20/10,1900.0,https://www.youtube.com/watch?v=cutFImt8Igw,"['position', 'week', 'ricardo', 'cavalcanti', '8/20/10']",position week ricardo cavalcanti 8/20/10
328,Position of the week with Ricardo Cavalcanti 10/8/10,1800.0,https://www.youtube.com/watch?v=5zVLmflqbsI,"['position', 'week', 'ricardo', 'cavalcanti', '10/8/10']",position week ricardo cavalcanti 10/8/10
321,Position of the week with Ricardo Cavalcanti 11/19/10,1800.0,https://www.youtube.com/watch?v=d4fcH-4bZHg,"['position', 'week', 'ricardo', 'cavalcanti', '11/19/10']",position week ricardo cavalcanti 11/19/10
325,Position of the week with Ricardo Cavalcanti 10/28/10,1700.0,https://www.youtube.com/watch?v=HmVSsLgCcqA,"['position', 'week', 'ricardo', 'cavalcanti', '10/28/10']",position week ricardo cavalcanti 10/28/10
327,Position of the week with Ricardo Cavalcanti 10/15/10,1600.0,https://www.youtube.com/watch?v=l5IdjnGRjCE,"['position', 'week', 'ricardo', 'cavalcanti', '10/15/10']",position week ricardo cavalcanti 10/15/10
338,Position of the week with Ricardo Cavalcanti 7/28/10,1600.0,https://www.youtube.com/watch?v=iFuMh38LaDU,"['position', 'week', 'ricardo', 'cavalcanti', '7/28/10']",position week ricardo cavalcanti 7/28/10
322,Position of the week with Ricardo Cavalcanti 11/12/10,1400.0,https://www.youtube.com/watch?v=L69Ondizbj8,"['position', 'week', 'ricardo', 'cavalcanti', '11/12/10']",position week ricardo cavalcanti 11/12/10
330,Position of the week with Ricardo Cavalcanti 9/24/10,1200.0,https://www.youtube.com/watch?v=x5c6DqrzuTE,"['position', 'week', 'ricardo', 'cavalcanti', '9/24/10']",position week ricardo cavalcanti 9/24/10
326,Position of the week with Ricardo Cavalcanti 10/21/10,1200.0,https://www.youtube.com/watch?v=26FJXAEGMHk,"['position', 'week', 'ricardo', 'cavalcanti', '10/21/10']",position week ricardo cavalcanti 10/21/10
318,Position of the week with Ricardo Cavalcanti 12/10/10,1100.0,https://www.youtube.com/watch?v=UQAY39uymgo,"['position', 'week', 'ricardo', 'cavalcanti', '12/10/10']",position week ricardo cavalcanti 12/10/10
316,Position of the week with Ricardo Cavalcanti 12/10/10,1000.0,https://www.youtube.com/watch?v=a570tquq7R8,"['position', 'week', 'ricardo', 'cavalcanti', '12/10/10']",position week ricardo cavalcanti 12/10/10
324,Position of the week with Ricardo Cavalcanti 11/5/10,896.0,https://www.youtube.com/watch?v=a8VWmDWgOK4,"['position', 'week', 'ricardo', 'cavalcanti', '11/5/10']",position week ricardo cavalcanti 11/5/10
329,Position of the week with Ricardo Cavalcanti 10/1/10,892.0,https://www.youtube.com/watch?v=q003TB1wudg,"['position', 'week', 'ricardo', 'cavalcanti', '10/1/10']",position week ricardo cavalcanti 10/1/10
248,Best Position in BJJ For Taller Grapplers,12000.0,https://www.youtube.com/watch?v=PjJKHgrc11A,"['best', 'position', 'in', 'bjj', 'taller', 'grapplers']",best position in bjj taller grapplers
76,Top Five Positions in Jiu-Jitsu That Make You Feel Like A Newb,7700.0,https://www.youtube.com/watch?v=h92rGpg0AZY,"['top', 'five', 'position', 'in', 'jiu-jitsu', 'make', 'feel', 'like', 'newb']",top five position in jiu-jitsu make feel like newb
235,Increase Your Guard Game With This Position,7200.0,https://www.youtube.com/watch?v=RnIQwYQ8HKU,"['increase', 'guard', 'game', 'position']",increase guard game position
198,Great Guard Position for Lanky BJJ Players,6900.0,https://www.youtube.com/watch?v=Vf8Kjg2R9SM,"['great', 'guard', 'position', 'lanky', 'bjj', 'players']",great guard position lanky bjj players
48,The Perfect Position to Finish a Fight and an Easy But Powerful Choke,4700.0,https://www.youtube.com/watch?v=Mn_c_oaxXCA,"['perfect', 'position', 'to', 'finish', 'fight', 'easy', 'powerful', 'choke']",perfect position to finish fight easy powerful choke
92,Maintaining Top Position on Much Bigger Opponents,4500.0,https://www.youtube.com/watch?v=VijuMp01X2c,"['maintain', 'top', 'position', 'on', 'much', 'bigger', 'opponents']",maintain top position on much bigger opponents
88,Crush Your Opponents with This Position in BJJ or MMA,3400.0,https://www.youtube.com/watch?v=HASzRAahvb4,"['crush', 'opponents', 'position', 'in', 'bjj', 'mma']",crush opponents position in bjj mma
40,Controlling the Jiu-Jitsu Turtle Position and Two Sneaky Technique to Watch Out For,2800.0,https://www.youtube.com/watch?v=YqKEOyXpzIU,"['control', 'jiu-jitsu', 'turtle', 'position', 'two', 'sneaky', 'technique', 'to', 'watch', 'out']",control jiu-jitsu turtle position two sneaky technique to watch out
245,How To Help Out Your Bottom BJJ Knee Shield Position  (One On One Lesson guard retention),2200.0,https://www.youtube.com/watch?v=oqh38Fa7xY4,"['to', 'help', 'out', 'bottom', 'bjj', 'knee', 'shield', 'position', '(', 'one', 'on', 'one', 'lesson', 'guard', 'retention', ')']",to help out bottom bjj knee shield position ( one on one lesson guard retention )
25,Entering Guard Positions From Standing For No-Gi Grappling,1900.0,https://www.youtube.com/watch?v=638Fz3HPRW4,"['enter', 'guard', 'position', 'from', 'stand', 'no-gi', 'grapple']",enter guard position from stand no-gi grapple
247,Completely Lock Down Your Opponent With This Lanky BJJ Guard Position,1800.0,https://www.youtube.com/watch?v=p_19SjbnTko,"['completely', 'lock', 'down', 'opponent', 'lanky', 'bjj', 'guard', 'position']",completely lock down opponent lanky bjj guard position
650,This is Not a good position in BJJ (Breaking Guard Effectively),110000.0,https://www.youtube.com/watch?v=-DZygaPJvbU,"['good', 'position', 'in', 'bjj', '(', 'break', 'guard', 'effectively', ')']",good position in bjj ( break guard effectively )
458,Worst Position as a BJJ White Belt & 1 Year Black Belt - Questions with Chewy,96000.0,https://www.youtube.com/watch?v=WnawmnFuIdw,"['worst', 'position', 'bjj', 'white', 'belt', '&', '1', 'year', 'black', 'belt', '-', 'question', 'chewy']",worst position bjj white belt & 1 year black belt - question chewy
283,Basic De La Riva Sweep for White Belts with Position Details,81000.0,https://www.youtube.com/watch?v=LyLwl4K7jag,"['basic', 'de', 'la', 'riva', 'sweep', 'white', 'belt', 'position', 'detail']",basic de la riva sweep white belt position detail
692,Versatile BJJ Arm Lock from 3 Different Guard Positions,69000.0,https://www.youtube.com/watch?v=3Fk_QHmtiow,"['versatile', 'bjj', 'arm', 'lock', 'from', '3', 'different', 'guard', 'position']",versatile bjj arm lock from 3 different guard position
793,5 Armbar Drills From 4 Positions + 2 Chain Drills,28000.0,https://www.youtube.com/watch?v=uUQLI4erB2Y,"['5', 'armbar', 'drill', 'from', '4', 'position', '+', '2', 'chain', 'drill']",5 armbar drill from 4 position + 2 chain drill
388,2 Useful Tips that Connect and Strengthen Your Mount Position,25000.0,https://www.youtube.com/watch?v=0MSTWcPLobw,"['2', 'useful', 'tip', 'connect', 'strengthen', 'mount', 'position']",2 useful tip connect strengthen mount position
194,Idea To Easily Add More Pressure to BJJ Positions and Submissions,23000.0,https://www.youtube.com/watch?v=OsyOfwEsFjU,"['idea', 'to', 'easily', 'add', 'pressure', 'to', 'bjj', 'position', 'submissions']",idea to easily add pressure to bjj position submissions
162,Is Position Before Submission In BJJ A Myth ?,23000.0,https://www.youtube.com/watch?v=j2UIIG05HeM,"['position', 'before', 'submission', 'in', 'bjj', 'myth', '?']",position before submission in bjj myth ?
10,How To Stop Losing Mount Position in BJJ (2 Fundamental Adjustments),20000.0,https://www.youtube.com/watch?v=dgkI1z6y2s8,"['to', 'stop', 'lose', 'mount', 'position', 'in', 'bjj', '(', '2', 'fundamental', 'adjustments', ')']",to stop lose mount position in bjj ( 2 fundamental adjustments )
91,Fix Your BJJ Mount Escape with These Step-by-Step Position Tips,19000.0,https://www.youtube.com/watch?v=k-ripHM5x8w,"['fix', 'bjj', 'mount', 'escape', 'step-by-step', 'position', 'tip']",fix bjj mount escape step-by-step position tip
766,5 BJJ Low Guard Passing Position Drills (Flow Drills),18000.0,https://www.youtube.com/watch?v=mdEW0lxO_AY,"['5', 'bjj', 'low', 'guard', 'pass', 'position', 'drill', '(', 'flow', 'drill', ')']",5 bjj low guard pass position drill ( flow drill )
48,My Biggest Weakness as a White Belt and How to Relax in Bad Positions (11 Questions),15000.0,https://www.youtube.com/watch?v=Qfb2seca2bc,"['biggest', 'weakness', 'white', 'belt', 'to', 'relax', 'in', 'bad', 'position', '(', '11', 'question', ')']",biggest weakness white belt to relax in bad position ( 11 question )
