,title,view_num,url,tokenized_title,detokenized_title
96,The Shoulder Crunch Sumi Gaeshi Sweep From Butterfly Guard by Gordon Ryan (ADCC 2019 Breakdown),120000.0,https://www.youtube.com/watch?v=VFbUih8C-Lk,"['shoulder', 'crunch', 'sumi', 'gaeshi', 'sweep', 'from', 'butterfly', 'guard', 'gordon', 'ryan', '(', 'adcc', '2019', 'breakdown', ')']",shoulder crunch sumi gaeshi sweep from butterfly guard gordon ryan ( adcc 2019 breakdown )
448,Best Sweep vs Bigger Opponents by 8x World Champion Bruno Malfacine,110000.0,https://www.youtube.com/watch?v=UMPZeljofwA,"['best', 'sweep', 'vs', 'bigger', 'opponents', '8x', 'world', 'champion', 'bruno', 'malfacine']",best sweep vs bigger opponents 8x world champion bruno malfacine
167,One Of The Best BJJ Half Guard Sweeps (The Coyote Half Guard) by Lucas Leite,88000.0,https://www.youtube.com/watch?v=INqZhKrlNKk,"['one', 'best', 'bjj', 'half', 'guard', 'sweep', '(', 'coyote', 'half', 'guard', ')', 'lucas', 'leite']",one best bjj half guard sweep ( coyote half guard ) lucas leite
468,"How To Sweep The Bigger/Stronger Opponent by Mansher ""Munchie"" Khera",51000.0,https://www.youtube.com/watch?v=hkupyxJnS-s,"['to', 'sweep', 'bigger/stronger', 'opponent', 'mansher', '``', 'munchie', ""''"", 'khera']",to sweep bigger/stronger opponent mansher `` munchie '' khera
101,How To Sweep Wrestlers From BJJ Half Guard by Lachlan Giles,45000.0,https://www.youtube.com/watch?v=rNxVLwBrhsY,"['to', 'sweep', 'wrestlers', 'from', 'bjj', 'half', 'guard', 'lachlan', 'giles']",to sweep wrestlers from bjj half guard lachlan giles
283,Butterfly Sweep Crossing The Arm by Adam Wardziński,40000.0,https://www.youtube.com/watch?v=UUSFGMNcH5A,"['butterfly', 'sweep', 'cross', 'arm', 'adam', 'wardziński']",butterfly sweep cross arm adam wardziński
358,Sweep While Getting Smashed In Half-Guard By Josh Roth,29000.0,https://www.youtube.com/watch?v=D77B641EIIc,"['sweep', 'get', 'smash', 'in', 'half-guard', 'josh', 'roth']",sweep get smash in half-guard josh roth
423,Lasso Sweep Going Straight To The Armbar by Marcos Tinoco,28000.0,https://www.youtube.com/watch?v=CtdlZ2CVa24,"['lasso', 'sweep', 'go', 'straight', 'to', 'armbar', 'marcos', 'tinoco']",lasso sweep go straight to armbar marcos tinoco
366,Single Leg Half-Guard Sweep Grabbing The Pants by Leonardo Saggioro,27000.0,https://www.youtube.com/watch?v=MWWO43BpaRY,"['single', 'leg', 'half-guard', 'sweep', 'grab', 'pant', 'leonardo', 'saggioro']",single leg half-guard sweep grab pant leonardo saggioro
348,Scisor Sweep Hacks by Chris Haueter,26000.0,https://www.youtube.com/watch?v=edRzi_vzgdc,"['scisor', 'sweep', 'hack', 'chris', 'haueter']",scisor sweep hack chris haueter
