,title,view_num,url,tokenized_title,detokenized_title
1106,Two WORST Martial Arts Techniques Ever!,3710000.0,https://www.youtube.com/watch?v=kvTxH11O2HU,"['two', 'worst', 'martial', 'arts', 'techniques', 'ever', '!']",old school lapel trick -kimura
933,The Most Dangerous Takedown in Judo & BJJ,2700000.0,https://www.youtube.com/watch?v=XRklGgwpbj0,"['dangerous', 'takedown', 'judo', '&', 'bjj']",old school americana inside guard
2344,Death of the Cauliflower Ear,2300000.0,https://www.youtube.com/watch?v=AzZWp1oPKo0,"['death', 'cauliflower', 'ear']",old school lasso guard pass
1083,Five Triangle Chokes You Must Know,1860000.0,https://www.youtube.com/watch?v=FbXunEbkf8E,"['five', 'triangle', 'choke', 'must', 'know']",old school ezekial choke
916,2 Easy Takedowns for People Who Don't Do Takedowns,1720000.0,https://www.youtube.com/watch?v=8uaFGdlYwOw,"['2', 'easy', 'takedowns', 'people', ""n't"", 'takedowns']",old school foot lock side control
2732,Rafael Mendes vs Paulo Miyao | IBJJF Europeans 2014 | Art of Jiu Jitsu Academy,1350000.0,https://www.youtube.com/watch?v=sYqc0YHq_sY,"['rafael', 'mend', 'vs', 'paulo', 'miyao', '|', 'ibjjf', 'europeans', '2014', '|', 'art', 'jiu', 'jitsu', 'academy']",pass guard defense
1030,Best Takedown vs Bigger Opponents?,1350000.0,https://www.youtube.com/watch?v=WQf_pSK6zGk,"['best', 'takedown', 'vs', 'bigger', 'opponents', '?']",armbar attack
1004,4 Tips to Pass ANY Guard,1330000.0,https://www.youtube.com/watch?v=TPjKqHQzM-U,"['4', 'tip', 'pass', 'guard']",attack knee belly
2717,Rafa Mendes vs Tsukada Ichitaro | 2014 Rickson Cup | Art of Jiu Jitsu Academy,1230000.0,https://www.youtube.com/watch?v=TnWBMSgqUeE,"['rafa', 'mend', 'vs', 'tsukada', 'ichitaro', '|', '2014', 'rickson', 'cup', '|', 'art', 'jiu', 'jitsu', 'academy']",old school spider guard convert single x guard sweep
1332,Black Belt Nearly Choked Unconscious By White Belt,1150000.0,https://www.youtube.com/watch?v=Ft-aIOT8mB4,"['black', 'belt', 'nearly', 'choke', 'unconscious', 'white', 'belt']",butterfly guard attack old school
994,How to Escape Kesa Gatame and the Headlock,1130000.0,https://www.youtube.com/watch?v=9Im8IKc8NeY,"['escape', 'kesa', 'gatame', 'headlock']",armlocks fundamental bjj old school
977,The 3 Fanciest Leglocks That Actually Work...,1110000.0,https://www.youtube.com/watch?v=Fc0z-rCZP5g,"['3', 'fanciest', 'leglocks', 'actually', 'work', '...']",50/50 guard secrets defense
1079,BJJ Self Defense Lesson 2: Escaping the Mount,1030000.0,https://www.youtube.com/watch?v=PJz8YQ5rXZw,"['bjj', 'self', 'defense', 'lesson', '2', ':', 'escape', 'mount']",guard sweep tip
947,5 Reasons to Grapple in a Streetfight,960000.0,https://www.youtube.com/watch?v=wCj0IfpFjqY,"['5', 'reason', 'grapple', 'streetfight']",darce choke upside
