,title,view_num,url
888,Side control escape against tight top pressure,780000.0,https://www.youtube.com/watch?v=VBT67Grv28k
274,BJJ Brown Belt Demolished a Mat Bully (Feels Upset About It),770000.0,https://www.youtube.com/watch?v=diTEcRp1aOg
657,How I gave up my Purple Belt at a New Gym (And Why You Shouldn't),640000.0,https://www.youtube.com/watch?v=ge0gNcPTWHI
740,You’ll Have This Moment As A BJJ White Belt ( If You Keep Training ),580000.0,https://www.youtube.com/watch?v=9_oB5vvhQw8
439,Training BJJ 2 Days a Week is a Waste of Time,580000.0,https://www.youtube.com/watch?v=fMCfzfXm9vQ
293,7 Years of BJJ and I Got Smashed by a Wrestler on his 1st Week,570000.0,https://www.youtube.com/watch?v=hweJtSBr44k
235,BJJ Blue Belt Cussed Out by Black Belt & Can’t Get Rolling Partners,530000.0,https://www.youtube.com/watch?v=12yZumCUZBQ
832,Breaking Closed Guard For White Belts (Don't Make These 2 Mistakes),520000.0,https://www.youtube.com/watch?v=y_XH2Qknulo
833,How To Escape Side Control Against A 300lbs Wrestler,510000.0,https://www.youtube.com/watch?v=eqxJ63nbIFE
515,What to Focus On as a New BJJ White Belt with No Submissions,480000.0,https://www.youtube.com/watch?v=khd9tFAyIyQ
700,"Promoting my ""little brother"" to BJJ Black Belt",480000.0,https://www.youtube.com/watch?v=GRqMsRh0w4Y
398,Frustrated Higher Belts Are Upset with This Tough Blue Belt,380000.0,https://www.youtube.com/watch?v=ZO7r2r2V0Mg
191,Friend Said BJJ Is Useless for a Street Fight (Boxing is Realistic),380000.0,https://www.youtube.com/watch?v=zWRjlBZZU70
831,Kimura From Closed Guard For White Belts (Small Details To Improve Success),380000.0,https://www.youtube.com/watch?v=mVkKOPNGvjA
857,White Belt Takedown,360000.0,https://www.youtube.com/watch?v=BinXUNgGTHE
598,Chewy Vs Big College Wrestler (Outweighed 75+ lbs),360000.0,https://www.youtube.com/watch?v=qskKwcpMI8s
392,2 Basic BJJ Chokes that Are Effective in Competition or a Fight,350000.0,https://www.youtube.com/watch?v=LOCafQOfeWQ
612,"What is a ""Dick Move"" in BJJ?",320000.0,https://www.youtube.com/watch?v=iTjOhx4ncS0
769,Roll Longer As A BJJ White Belt With These Simple Tips,320000.0,https://www.youtube.com/watch?v=jIabXnBi2gg
765,Stop Thinking About Techniques As A BJJ White Belt,290000.0,https://www.youtube.com/watch?v=0U-uUbVimxk
574,Take the Back When Someone Uses this Dick Move in BJJ (Forearm in The Throat),280000.0,https://www.youtube.com/watch?v=8wP7JBnpmCI
463,How to Handle Aggressive Guy who Injures his Female BJJ Partners,270000.0,https://www.youtube.com/watch?v=p3-t6q0bnM4
467,This BJJ Half Guard Sweep is So Effortless You Might Giggle,260000.0,https://www.youtube.com/watch?v=KxkcHaLAxTU
49,BJJ Black Belt Struggling to Sweep 2X National Wrestling Champion,260000.0,https://www.youtube.com/watch?v=uaLINeuga6M
540,Powerful Kimura Setup for White Belts to Stop Basic Guard Break,260000.0,https://www.youtube.com/watch?v=KNOIlRcEWUI
551,Scissor Sweep for BJJ White Belts (Try These Adjustments),260000.0,https://www.youtube.com/watch?v=UBf7uF5x8GQ
673,Tips to Improve With Only 2-3 days a Week of BJJ Training,250000.0,https://www.youtube.com/watch?v=mXrnt2Kk1W8
849,4 Leg Locks from Half Guard,240000.0,https://www.youtube.com/watch?v=753156BgW-I
577,How I Used BJJ in a Street Fight and Why I like the Belt Gauntlet,240000.0,https://www.youtube.com/watch?v=d5-hAf8iUuU
433,I Tapped from Pressure as a BJJ White Belt ( Here’s How I fixed it ),240000.0,https://www.youtube.com/watch?v=1a4gkkl5pU8
604,Brazilian Jiu-jitsu or Japanese Jujutsu ?,230000.0,https://www.youtube.com/watch?v=k0TGLluyoug
606,Why Am I a 1 Stripe White Belt? (I'm Smashing People),220000.0,https://www.youtube.com/watch?v=5cgAJOjqB4o
623,The Right Mindset when Rolling With Stronger People in BJJ,210000.0,https://www.youtube.com/watch?v=EyFwfQDiXds
535,"Forget the Belt Promotion , Commit to Your BJJ Coach / Gym",200000.0,https://www.youtube.com/watch?v=_qfuS9geXmI
800,7 BJJ Solo Drills To Build Better Hip Movement,200000.0,https://www.youtube.com/watch?v=T41SAh1lsuA
853,Scissor Sweep White Belt Triangle Choke Setup,190000.0,https://www.youtube.com/watch?v=1oZSl5lJd1M
750,10 BJJ Solo Drills W/ Heavy Bag (Top Pressure And Movement),190000.0,https://www.youtube.com/watch?v=IRUtpYQ0c6E
532,Disgusting Situation in BJJ (Dad told his son to F^%K me Up!),190000.0,https://www.youtube.com/watch?v=Bll-GjkJu08
190,No Gi Rolling with 3 of My BJJ Purple Belts (Lots of Scrambles),180000.0,https://www.youtube.com/watch?v=_PJuQ5dCB3s
472,How To Roll with Women in Bjj (Don’t Be a Bully),180000.0,https://www.youtube.com/watch?v=3Yg5Xn0z7Rk
588,"Why I Quit MMA, Cutting Weight in BJJ, My Chipped Tooth - 8 Questions With Chewy",170000.0,https://www.youtube.com/watch?v=FKpUsymD8Fc
232,"Don’t Become The White Belt ""Coach"" in Your BJJ Gym",170000.0,https://www.youtube.com/watch?v=i2FYfzZaME0
111,National Geographic Inspired Analogy About White Belts in BJJ,170000.0,https://www.youtube.com/watch?v=SNZbc87mPJw
478,My BJJ Coach Snapped at Me And I'm Not Sure Why,160000.0,https://www.youtube.com/watch?v=PZuJ5GUHjK0
605,Should You Start BJJ if You’re Out of Shape ?,160000.0,https://www.youtube.com/watch?v=zzppQLDoswY
267,Powerful Armbar Escape for White Belts with Mahamed Aly,150000.0,https://www.youtube.com/watch?v=mJyZ9UVVa0E
526,Should I Quit Gi BJJ and Do 10th Planet ? (Frustrated with Grips),150000.0,https://www.youtube.com/watch?v=I8AQII5nUC4
607,How I Wasted a Year Training BJJ in a Basement,150000.0,https://www.youtube.com/watch?v=fX0rhlWJoGg
176,Negative Effect of Higher Belts Not Smashing New BJJ White Belts,150000.0,https://www.youtube.com/watch?v=28iDB_s5Jiw
518,Frustrated BJJ Student on the Verge of Quitting ( Falling Behind ),150000.0,https://www.youtube.com/watch?v=NnZdUn_hzEc
471,Why Do Some People get Better at BJJ Faster,150000.0,https://www.youtube.com/watch?v=t_P5YQ77GfY
427,Tips for Joining a BJJ Gym for The 1st Time,150000.0,https://www.youtube.com/watch?v=swqJWqy3xFE
261,Smashed at a Different BJJ Gym (Don’t Want my Blue Belt Promotion),140000.0,https://www.youtube.com/watch?v=Z6qfiyQyOpA
129,Cautionary Tale Of Talking During Rolling In BJJ,140000.0,https://www.youtube.com/watch?v=9SShvA5NZH8
798,Beating A Purple Belt When I Was A White Belt (Accept Losing),140000.0,https://www.youtube.com/watch?v=52hN9rk5YP8
630,Are You Too Old to Start BJJ?,140000.0,https://www.youtube.com/watch?v=g6q8jlw5YlY
794,Single Leg Takedown For BJJ W/ Gi (Don't Double Butt Scoot),140000.0,https://www.youtube.com/watch?v=64z25NDWlQo
265,Can’t Finish Armbars? (Try These 2 Brutal Submissions) - w/ Mahamed Aly,130000.0,https://www.youtube.com/watch?v=3RiuyHlQ5vw
748,Chewy Competing at Master Worlds 2016,130000.0,https://www.youtube.com/watch?v=sUq2jRCQ9QE
576,Getting Ahead of Yourself as a BJJ White Belt (Too Many Techniques),130000.0,https://www.youtube.com/watch?v=V4MBkh37Ook
704,Escape a Heavy Mount in BJJ with a Sweep ( Single X Sweep ),120000.0,https://www.youtube.com/watch?v=MD7ssmCeSjk
372,Proven BJJ Competition Strategy against a Strong Wrestler,120000.0,https://www.youtube.com/watch?v=xxiOdIWfzoU
572,Never Do THIS During BJJ Training In The Gym,120000.0,https://www.youtube.com/watch?v=jgk5Q_cfJz4
776,11 Solo BJJ Drills W/ Stability Ball (Guard Passing And Hips),120000.0,https://www.youtube.com/watch?v=H4luaFHs7O4
760,Stealthy Grip To Setup Baseball Choke From Side Control,120000.0,https://www.youtube.com/watch?v=zoVcUtK-uh4
338,Weird Exercises that Fixed My Lower Back and Hips,110000.0,https://www.youtube.com/watch?v=5zt0CE5o02E
724,Increase Your Success with Kimura from Side Control,110000.0,https://www.youtube.com/watch?v=SUgrQp558qA
381,Are BJJ Schools are Doing it Wrong ? (Ben Askren Comments),110000.0,https://www.youtube.com/watch?v=GXUKJOO7rYk
890,Meniscus tear surgery and recovery (part 1),110000.0,https://www.youtube.com/watch?v=uRK-eCKnZo0
866,No Gi Triangle Choke From Closed Guard,110000.0,https://www.youtube.com/watch?v=9pjdpFCr4UI
611,Tips for a Non Aggressive White belt,110000.0,https://www.youtube.com/watch?v=dDpw1e2b3u0
543,This is Why You Roll Worse against White Belts in BJJ,110000.0,https://www.youtube.com/watch?v=ZRgivpRrYVc
816,10 BJJ Guard Passing Drills (Starting High And Working Low),110000.0,https://www.youtube.com/watch?v=o5L_bmRcfow
650,This is Not a good position in BJJ (Breaking Guard Effectively),110000.0,https://www.youtube.com/watch?v=-DZygaPJvbU
599,Ankle Pick Takedown for No Gi BJJ,110000.0,https://www.youtube.com/watch?v=KzEoF49h-Ic
582,Should Beginners Focus on Gi or No GI BJJ (Is the GI Unrealistic),100000.0,https://www.youtube.com/watch?v=Y3qanM53ul4
66,3 Rounds of No Gi Rolling with 2X ADCC Champ Jt Torres,100000.0,https://www.youtube.com/watch?v=7W4gSIR6EfM
181,Why the Blue Belt Blues Excuse Drives Me Crazy (It’s Not Real!),100000.0,https://www.youtube.com/watch?v=pXldR6a0d9E
177,BJJ White Belt Unexpectedly Discovers New Way of Rolling,100000.0,https://www.youtube.com/watch?v=HHDwvzdusTE
175,Loop Chokes Please! (Basics on How the BJJ Loop Choke Works),100000.0,https://www.youtube.com/watch?v=SNASDxyjcAA
810,Bjj Drills To Improve Cardio And Speed For Guard Passing,100000.0,https://www.youtube.com/watch?v=vWoGtQRcpG4
358,"The BJJ Gi is Too Unrealistic , But What About a T Shirt ?",100000.0,https://www.youtube.com/watch?v=tND6133FNlM
717,Weight Training For BJJ Vlog : Intro,100000.0,https://www.youtube.com/watch?v=CwD6nKsKtOU
