,title,view_num,url
140,Roy Dean - Pathway to Escape Side Control - BJJ Weekly #059,390000.0,https://www.youtube.com/watch?v=I3clyVNfjXg
197,Gracie Jiu Jitsu - Ryron Gracie - Open Guard Loop Choke,270000.0,https://www.youtube.com/watch?v=fYGUeQ0C3LE
159,Marcelo Garcia - Rolling Reflections - BJJ Weekly #049,250000.0,https://www.youtube.com/watch?v=R1KSBYmmxFo
121,Marcelo Garcia - Butterfly Guard Modifications for Strong Aggressive Players - BJJ Weekly #072,250000.0,https://www.youtube.com/watch?v=RmqIAXU9TWE
124,Marcelo Garcia - Butterfly Sweep from Open Guard - BJJ Weekly #069,240000.0,https://www.youtube.com/watch?v=nYdoNA38q30
122,Marcelo Garcia - 2 on 1 Hook Sweep - BJJ Weekly #071,200000.0,https://www.youtube.com/watch?v=1Yijz9ICItE
251,Brazilian Jiu-Jitsu Lifestyle - BJJ Weekly Newsletter,160000.0,https://www.youtube.com/watch?v=OXtHlqiacDs
111,"""Cyborg"" Roberto Abreu - Are You Kidding Me Kimura - BJJ Weekly #078",160000.0,https://www.youtube.com/watch?v=Qx_w5A4ggMA
196,Ryron Gracie - Arm Lock From Side Control - BJJ Weekly #030,150000.0,https://www.youtube.com/watch?v=G0cb8Q9Kgno
162,Judo for Jiu Jitsu - Jimmy Pedro - Tai Otoshi - BJJ Weekly #048,150000.0,https://www.youtube.com/watch?v=bPPigY8SxRc
151,Jimmy Pedro - Judo for Jiu-Jitsu - Grip Strategy - BJJ Weekly #053,150000.0,https://www.youtube.com/watch?v=lTOmSjc-yVE
104,Ryron Gracie - Don't Fear the Footlock! - BJJ Weekly #082,140000.0,https://www.youtube.com/watch?v=_VUybC7nCuE
163,Judo for Jiu Jitsu - Jimmy Pedro - Osoto-Gari - BJJ Weekly #047,140000.0,https://www.youtube.com/watch?v=rqNslie-J68
132,Jimmy Pedro - Trips for Tight Players - BJJ Weekly #064,140000.0,https://www.youtube.com/watch?v=zGCn6_-9riQ
195,Judo for Jiu Jitsu - Basic Takedown - Dan Simmler,130000.0,https://www.youtube.com/watch?v=DH8bPrOYBP8
146,Emily Kwok - Sickle Sweep from Open Guard - BJJ Weekly #056,110000.0,https://www.youtube.com/watch?v=MV0iZDE1izc
138,Nic Gregoriades - BJJ Building Blocks - Straight Arm Lock from Guard - BJJ Weekly #060,110000.0,https://www.youtube.com/watch?v=ZCroeMhllQs
157,Marcelo Garcia - Rolling Reflections - BJJ Weekly #051,110000.0,https://www.youtube.com/watch?v=FVgPlCPWgOg
222,"Brazilian Jiu-Jitsu Technique - Taking the Back from Guard - Ailson ""Jucao"" Brites",110000.0,https://www.youtube.com/watch?v=aVpIEQNT0ug
113,"Roberto ""Cyborg"" Abreu - Half Guard Straight Arm Lock - BJJ Weekly #077",110000.0,https://www.youtube.com/watch?v=30Ad_x5JBn4
123,Marcelo Garcia - Butterfly Sweep V.2 - BJJ Weekly #070,100000.0,https://www.youtube.com/watch?v=Mo2vJ0_xb1U
109,"""Cyborg"" Roberto Abreu - Tornado Guard to Triangle - BJJ Weekly #079",98000.0,https://www.youtube.com/watch?v=yM4NG1Y64YY
167,Rolling Reflections - Robson Moura - BJJ Weekly #045,98000.0,https://www.youtube.com/watch?v=ZjCRIWaoU98
199,Ryron Gracie - Rolling Reflections - BJJ Technique,90000.0,https://www.youtube.com/watch?v=tEYFiaNv1I4
73,‪Ralek Gracie - Get The Triangle Everytime - BJJ Weekly Issue #099‬,81000.0,https://www.youtube.com/watch?v=0TGqcU2Kd7g
174,BJJ Weekly #042 - Rolles Gracie - Standing Guard Pass,80000.0,https://www.youtube.com/watch?v=SCSkdf3rnRc
147,Emily Kwok - BJJ Mount Flow Drills - BJJ Weekly #055,80000.0,https://www.youtube.com/watch?v=wDS_rFEg2Tg
47,Braulio Estima - Sneaky Triangle Setup - BJJ Weekly #115,75000.0,https://www.youtube.com/watch?v=MVn5dolTvx0
78,Robson Moura‪ - Reverse De LA Riva Sweep - BJJ Weekly Issue #097‬,71000.0,https://www.youtube.com/watch?v=OEpvgCiyMKY
50,‪Braulio Estima - Sweep From Guard - BJJ Weekly Issue #113,71000.0,https://www.youtube.com/watch?v=FVFTaIjuzbE
127,Gabriel 'Gladiator' Santos - Side Control Submission Chain - BJJ Weekly #067,64000.0,https://www.youtube.com/watch?v=OKVYIFoNiFw
48,Jimmy Pedro - Judo for Jiu Jitsu - Fireman's Carry - BJJ Weekly #115,64000.0,https://www.youtube.com/watch?v=CEZXq6dSd8c
114,Ricardo De La Riva - DLR Hook Sweep - BJJ Weekly #076,63000.0,https://www.youtube.com/watch?v=507GRtEoPec
118,Ricardo De La Riva - DLR Sweep V 2.0 - BJJ Weekly #074,62000.0,https://www.youtube.com/watch?v=9An0G8heE-Q
144,Augusto 'Tanquinho' Mendes - Ankle Pick Takedown with Guard Pass - BJJ Weekly #057,60000.0,https://www.youtube.com/watch?v=flcxdXbZG-c
135,Ryron Gracie - Arm Lock Switch Drill - Drill for Skill - BJJ Weekly #062,59000.0,https://www.youtube.com/watch?v=vu4P66PqZyM
143,Nic Gregoriades - Cross Choke from Mount - BJJ Weekly #058,59000.0,https://www.youtube.com/watch?v=G1nxvsDw5vM
193,Ryron Gracie - Wrist Lock from Side Mount - BJJ Weekly #031,58000.0,https://www.youtube.com/watch?v=UYJlJQTEa8I
190,De La Riva Sweep to Arm Bar - Robson Moura - BJJ Weekly #33,58000.0,https://www.youtube.com/watch?v=AOpTeT3K35Q
107,Hannette Staack - Arm Bar from Guard for People Who Like to Win - BJJ Weekly #081,55000.0,https://www.youtube.com/watch?v=bqrtPTGm_Q8
192,Ryron Gracie - Open Guard Footlock - BJJ Weekly Issue #032,55000.0,https://www.youtube.com/watch?v=9Yvek8uPm9M
93,Pablo Popovitch - This Arm Is Mine Cyborg - BJJ Weekly Issue #090,55000.0,https://www.youtube.com/watch?v=QeBNImPOMNQ
35,Deep Half Guard Killer Crucifix - BJJ Weekly Issue #122 with Jared Weiner,54000.0,https://www.youtube.com/watch?v=bqajvkJ7Rq4
189,Robson Moura - De La Riva Guard Sweep - BJJ Weekly #034,52000.0,https://www.youtube.com/watch?v=VxwOiYSAduM
108,Cyborg Roberto Abreu -- Mat Punch Pass With Kimura Bonus -- BJJ Weekly #80,51000.0,https://www.youtube.com/watch?v=CkIfQBj0Y1c
232,Brazilian Jiu-Jitsu Technique - ROLLING REFLECTIONS - Gregor Gracie - BJJ Weekly,51000.0,https://www.youtube.com/watch?v=DdzzTAIme_s
141,Augusto 'Tanquinho' Mendes - X Guard Pass - BJJ Weekly #059,50000.0,https://www.youtube.com/watch?v=-5RgN1SER4A
45,Braulio Estima - Triangle Magic - BJJ Weekly Issue #116,47000.0,https://www.youtube.com/watch?v=orFZDeLAOt4
120,Ricardo De La Riva - Knee Lapel DLR Sweep - BJJ Weekly #073,47000.0,https://www.youtube.com/watch?v=75G5oYkq9CA
142,Augusto 'Tanquinho' Mendes - Passing the 50/50 Guard - BJJ Weekly #058,47000.0,https://www.youtube.com/watch?v=92bTlzTve18
66,JT Torres - Lose the Leg Lasso - BJJ Weekly Issue #103,46000.0,https://www.youtube.com/watch?v=EIjyvzFQN1w
106,"Ryron Gracie - Footlock Fun for Everyone, Pt 1 - BJJ Weekly #081",46000.0,https://www.youtube.com/watch?v=59ZlqVqKTyQ
152,Emily Kwok - BJJ Techniques - Chained Cross Side Attacks - BJJ Weekly #053,45000.0,https://www.youtube.com/watch?v=xtk0bQlmqnM
212,BJJ Technique - Spider Guard Sweep - Vitor Shaolin Ribiero,45000.0,https://www.youtube.com/watch?v=oplKZlUapAg
203,BJJ: Rolling Reflections - Pete vs. Ryron Gracie - BJJ Weekly,44000.0,https://www.youtube.com/watch?v=h9RIFtCqk4g
229,Brazilian Jiu-Jitsu Technique - Gregor Gracie - BJJ Weekly #016,44000.0,https://www.youtube.com/watch?v=XujdyrTpj9w
218,BJJ Technique - Vitor Shaolin Ribiero - Spider Guard Sweep,44000.0,https://www.youtube.com/watch?v=8p0eMDpeyrY
52,Escape the Sidemount - Nic Gregoriades Master's Mindset - BJJ Weekly Issue #111,42000.0,https://www.youtube.com/watch?v=a3v4hqqshK0
130,Jimmy Pedro - Grip Break Power Play - BJJ Weekly #065,41000.0,https://www.youtube.com/watch?v=76c269wWMvg
69,‪Ralek Gracie - My Secret Armbar - BJJ Weekly Issue #101‬,39000.0,https://www.youtube.com/watch?v=j6ZL7gu8-Mg
139,Augusto 'Tanquinho' Mendes - Guard Pass w/ Back Take & Choke - BJJ Weekly #060,38000.0,https://www.youtube.com/watch?v=ysMj4_CPrmQ
64,JT Torres - Sit Up Guard - BJJ Weekly Issue #104,37000.0,https://www.youtube.com/watch?v=eFzmAHQhLL4
145,Rolling Reflections - Rafael 'Formiga' Barbosa vs. Augusto 'Tanquinho' Mendes - BJJ Weekly #056,33000.0,https://www.youtube.com/watch?v=KvFy_xDgr1Q
94,Pablo Popovitch - North South No More - Bjj Weekly Issue #089,32000.0,https://www.youtube.com/watch?v=XCBGLXifR5Q
49,Braulio Estima - Sweep From Guard Progression - BJJ Weekly Issue #114,32000.0,https://www.youtube.com/watch?v=Yv4tbNFNc6A
206,Ryron Gracie - Arm Lock Grip Break - BJJ Power Play,32000.0,https://www.youtube.com/watch?v=pTzZw0OWAEA
