,title,view_num,url
218,33 Solo Grappling BJJ Drills in 7 Minutes - Jason Scully,1270000.0,https://www.youtube.com/watch?v=EXjP50SOwK4
203,38 Closed Guard BJJ Combinations Everyone Should Know in 4 Minutes - Jason Scully,830000.0,https://www.youtube.com/watch?v=IuUYRO7PRtw
200,57 BJJ Guard Passing Techniques in Just 8 Minutes - Jason Scully,780000.0,https://www.youtube.com/watch?v=r6OXHhvKaSA
197,51 BJJ Guard Sweeps in Less Than 7 Minutes - Jason Scully,690000.0,https://www.youtube.com/watch?v=cxc6uoaso7Q
205,55 High Percentage Closed Guard BJJ Techniques Version 2.0 - Jason Scully,580000.0,https://www.youtube.com/watch?v=Uzbie1JeYQE
196,42 Takedown Techniques in Just 6 Minutes BJJ Grappling - Jason Scully,570000.0,https://www.youtube.com/watch?v=UNiNtQ6iKI0
201,42 BJJ Half Guard Bottom Techniques in Just 6 Minutes - Jason Scully,550000.0,https://www.youtube.com/watch?v=OUMLNDO32zw
174,39 Armbars & Arm Locks in Less Than 4 Minutes - Jason Scully - BJJ - Grappling,540000.0,https://www.youtube.com/watch?v=OVpQiNNBP9k
241,Closed Guard BJJ (Brazilian Jiu Jitsu) Techniques,510000.0,https://www.youtube.com/watch?v=v_0G5AXAYnI
199,A Lot of High Percentage No Gi Chokes and Variations in Just 8 Minutes - Jason Scully,430000.0,https://www.youtube.com/watch?v=WkvZ22L_Lv8
198,24 Gi Chokes in Less Than 5 Minutes,410000.0,https://www.youtube.com/watch?v=OlDSm8UTK20
192,"23 BJJ Transitions, Scrambles, and Counters in Less Than 8 Min - Jason Scully",400000.0,https://www.youtube.com/watch?v=MPD7oSpNkXc
189,29 BJJ Submission Escapes and Defenses in Just 8 Min - Jason Scully,390000.0,https://www.youtube.com/watch?v=09WKJb8adxw
170,49 Kimura and Americana Attacks in Less Than 6 Min - Jason Scully BJJ Grappling,360000.0,https://www.youtube.com/watch?v=-vmJ0ohGHH4
185,31 BJJ Grappling Partner Drills in Less Than 6 Minutes - Jason Scully,290000.0,https://www.youtube.com/watch?v=1loagxhLGsA
173,30 Animal Grappling Solo Drills in Less Than 7 Min - Jason Scully,290000.0,https://www.youtube.com/watch?v=uO8u_3Jmiqw
63,54 Solo Grappling BJJ Drills in 12 Minutes (Updated 2019 Version) - Jason Scully,270000.0,https://www.youtube.com/watch?v=zboFYX9cxJE
163,52 Triangle Choke Set Ups In Just 8 Minutes - Jason Scully BJJ Grappling,270000.0,https://www.youtube.com/watch?v=3y9GCwsL0g8
140,105 Leg Lock Techniques In Just 9 Minutes - Jason Scully (BJJ Grappling MMA),200000.0,https://www.youtube.com/watch?v=AN79L3IP954
156,17 BJJ Positional Escapes In 10 Min  - Mount & Back Mount - Jason Scully,170000.0,https://www.youtube.com/watch?v=9-n6EdxRewc
181,BJJ Concepts: Becoming a Guard Passing Finisher - Jason Scully,170000.0,https://www.youtube.com/watch?v=ArbjYT2HByI
169,49 Back Mount Entries in Less Than 6 Min - Jason Scully BJJ Grappling,160000.0,https://www.youtube.com/watch?v=dd0e1Z4kKl4
158,"23 BJJ Positional Escapes In Just 11 Min - Side Control, Scarf Hold, Modified Scarf Hold Escapes",140000.0,https://www.youtube.com/watch?v=g5dG5kLqlFw
162,37 Omoplata Set Ups In Just 4 Min - Jason Scully / Matt Kirtley (Aesopian) - BJJ Grappling,120000.0,https://www.youtube.com/watch?v=Qrz4WPs-nSg
211,BJJ Reverse Berimbolo (Kiss of Dragon) in Action and Instructional Breakdown,120000.0,https://www.youtube.com/watch?v=2BXR1VXbJKs
179,22 No Gi Grappling Top Position Combinations in Less Than 3 Minutes - Jason Scully,110000.0,https://www.youtube.com/watch?v=JIjX_JM5Raw
155,"19 BJJ Positional Escapes in 11 Min - Turtle, Headlock, Cradle, Crucifix - Jason Scully",100000.0,https://www.youtube.com/watch?v=Xg-TUmrrTQA
236,The Armbar from Guard BJJ Technique,99000.0,https://www.youtube.com/watch?v=Doous6xbm6c
157,"26 BJJ Positional Escapes In 13 Min - Reverse Scarf Hold, North South, Knee on Belly - Scully",91000.0,https://www.youtube.com/watch?v=Mf3Qn1elFWc
239,Basic No-Gi Flower Sweep,89000.0,https://www.youtube.com/watch?v=pp8l4SVgbuc
152,EVEN BETTER! - The Grapplers Guide Competitor Analysis - Rafael Mendes Guard Passing Study,88000.0,https://www.youtube.com/watch?v=pKKGixMOlkw
106,"Are You Shrimping The ""Wrong"" Way? - Jason Scully - BJJ Grappling",80000.0,https://www.youtube.com/watch?v=phGq3HjOZN4
191,Beginner BJJ Fundamentals -Foot Wedge Half Guard Pass Concepts - Jason Scully,75000.0,https://www.youtube.com/watch?v=Sq6lt3Tj80k
186,"Hunting for The Kimura Concepts - Jason Scully - BJJ, Grappling",71000.0,https://www.youtube.com/watch?v=Xd10kjWQHX4
202,"Jason Scully - BJJ Foot on Hip Tilt (Pendulum Sweep, Triangle, and Back Take)",70000.0,https://www.youtube.com/watch?v=Enan-4g7UCg
214,"GrapplingDrills.com - BJJ Berimbolo, Spinning Inverted Guard Solo Drill - Jason Scully",61000.0,https://www.youtube.com/watch?v=CD1_S-6GrhQ
207,Jason Scully - BJJ Over/Under Pass in Competition and Instruction,61000.0,https://www.youtube.com/watch?v=AK4rnicJFZs
161,MUST WATCH Guard Retention Concepts For Grapplers And BJJ Players - Jason Scully,58000.0,https://www.youtube.com/watch?v=BpZGKHXjef0
177,Grappling BJJ Transitional Chain Drill - Jason Scully,57000.0,https://www.youtube.com/watch?v=V7sREzHU8Hk
150,High Percentage Berimbolo Counter Defense - Jason Scully BJJ Grappling,56000.0,https://www.youtube.com/watch?v=mI6QHkE-OMA
147,BJJ Beginner Top Concepts - Side Control Stubbornness! - Jason Scully,54000.0,https://www.youtube.com/watch?v=ZMLt-gI-r44
160,Deep Half Guard Positional Tips and Concepts - Jason Scully,53000.0,https://www.youtube.com/watch?v=LSjkLTygTZE
146,BJJ Mount Position Reaction Transition - Leg Swipe Against Escape (Possible Back Take),48000.0,https://www.youtube.com/watch?v=wNIDTUCYGYM
188,Jason Scully - Leg Blaster Workout with Hill Sprints at the Park,48000.0,https://www.youtube.com/watch?v=U0WnbdDTy8A
34,Craig Jones - Z-Half Guard Armbar (Bringing Leg Over The Head),47000.0,https://www.youtube.com/watch?v=1AXix_eKyKc
144,MUST LEARN BJJ Transitional Escape - The Stiff Arm - Jason Scully Grappling,47000.0,https://www.youtube.com/watch?v=2yn-i1bjWIU
149,Triangle Set Up From Half Guard While Overhooked - Jason Scully BJJ Grappling,46000.0,https://www.youtube.com/watch?v=R8D-mrQjzQo
237,North South Choke with No Arm,45000.0,https://www.youtube.com/watch?v=3XEYLpWacg0
168,22 Jump Rope Techniques in 2 Minutes - Jason Scully - BJJ Grappling Exercise,43000.0,https://www.youtube.com/watch?v=Mrc0Y5x1UfU
193,Jason Scully - Standing X-Pass (Plus Drills For the X-Pass),41000.0,https://www.youtube.com/watch?v=4NV2VLjSaYk
180,BJJ Single Leg X-Guard Sickle Sweep - Grapplers Guide Expert - Jeff Rockwell,41000.0,https://www.youtube.com/watch?v=pZiJX4VJAcA
216,How to Train BJJ and Grappling for a Long Time - Grapplers Guide Soapbox,39000.0,https://www.youtube.com/watch?v=MyP0V2bjqxA
148,BJJ Transition Chain - Knee Cutter Guard Passing Chain #1 - Jason Scully,37000.0,https://www.youtube.com/watch?v=a76tBwuHw_c
135,4 Transitional Escapes Against Opponents Mount Attempt From Top - Jason Scully,35000.0,https://www.youtube.com/watch?v=dpORalWAAmU
154,"Half Guard Step Back Pass Series - Jason Scully - (4 Options - Pass, Mount, & Back Takes)",33000.0,https://www.youtube.com/watch?v=yTow4lOujLA
187,Jason Scully - Upperbody/Core Blaster Workout - BJJ Workout -  Grappling Workout,33000.0,https://www.youtube.com/watch?v=82a3uLl3kPw
138,"BJJ Back Take From Hip Bump Sweep Using ""Switch"" Movement - Jason Scully",33000.0,https://www.youtube.com/watch?v=LadqVkse6z8
172,Guard Passing Concepts - Pressing the Pass - Under The Legs - Jason Scully,33000.0,https://www.youtube.com/watch?v=yMZLtqi-Pr4
212,BJJ Reverse Omoplata in Action and Instructional Breakdown - Jason Scully,32000.0,https://www.youtube.com/watch?v=5iUhd-6rWjM
