,title,view_num,url
115,Death of the Cauliflower Ear,2300000.0,https://www.youtube.com/watch?v=AzZWp1oPKo0
122,Leandro Lo - Torreada Pass from BJJ Library Seminar,340000.0,https://www.youtube.com/watch?v=HcrOBNTiYpg
96,Dean Lister Straight Ankle Foot Lock from BJJ Library,280000.0,https://www.youtube.com/watch?v=auZeB95UkA4
110,Setting Up Butterfly Guard by Saulo Ribeiro,210000.0,https://www.youtube.com/watch?v=_3braRnOwFo
76,Jeff Glover's Donkey Guard Sweep from BJJLibrary.com,180000.0,https://www.youtube.com/watch?v=qLChCOxi_T8
88,Controlling Side Control Concepts with Xande Ribeiro (BJJLIBRARY.COM),170000.0,https://www.youtube.com/watch?v=iZAs-ZrjsdQ
94,Kneebar Submission by Dean Lister,160000.0,https://www.youtube.com/watch?v=ZPZM4ciz-jA
103,Jeff Glover - Torreando Counter with Arm Drag or Rollover Sweep (BJJ Library Seminar),150000.0,https://www.youtube.com/watch?v=wvYBwxJdcCE
65,Reverse De la Riva Sweep with Andre Galvao (BJJLIBRARY.COM),150000.0,https://www.youtube.com/watch?v=xtGoz8osm0Q
95,Berimbolo Defense with Gangster Crossface by Xande Ribeiro,140000.0,https://www.youtube.com/watch?v=N6gu84DhxR4
72,Wrist Lock from Closed Guard by Fabio Santos (BJJLIBRARY.COM),120000.0,https://www.youtube.com/watch?v=P172IXrJAEk
19,Jimmy Pedro and Saulo Ribeiro on Ko Uchi Gari and Drop Seoi Nage Combination,120000.0,https://www.youtube.com/watch?v=EAA5UaylzSU
101,De la Riva Guard Pass - Headquarters Position or Shin Pressure by Saulo Ribeiro,110000.0,https://www.youtube.com/watch?v=iLXmD9Us7vc
55,Mackenzie Dern's Koala Guard Control,110000.0,https://www.youtube.com/watch?v=YBj_dAFOGHA
114,Mount Survival and Mount Elbow Escape (Jiu Jitsu Univ Ch 3 and 7-1),100000.0,https://www.youtube.com/watch?v=h9JU07gGGZE
84,X Pass to Torreando Guard Pass by Xande Ribeiro,100000.0,https://www.youtube.com/watch?v=xbLzrLzgTzs
57,Spider Guard Scissor Sweep to Triangle with Romulo Barral (BJJLIBRARY.COM),99000.0,https://www.youtube.com/watch?v=inCu_AeDqkU
13,Lucas Leite - Half Guard Sweep to Back Take - BJJ Library,97000.0,https://www.youtube.com/watch?v=n-pZNIn1WhI
113,Fernando Augusto Terere's Triangle that Submitted Marcelo Garcia in 2003,96000.0,https://www.youtube.com/watch?v=8IF66wTFYmM
100,"Leandro Lo, Saulo, and Xande Ribeiro Behind the Scenes at BJJ Library",92000.0,https://www.youtube.com/watch?v=mofURhpeVHs
74,Controlling the Mount with Saulo Ribeiro (BJJLIBRARY.COM),90000.0,https://www.youtube.com/watch?v=_l4hnSP6sZ4
118,Xande Judo Randori Session at Tenri Judo (May 2013),87000.0,https://www.youtube.com/watch?v=kgI59gQkHX0
77,Flattening to Pass the Half Guard by Xande Ribeiro,86000.0,https://www.youtube.com/watch?v=SjN6ehT3qEs
120,Fernando Terere Seminar - Safada Takedown from BJJLIBRARY.COM,85000.0,https://www.youtube.com/watch?v=YEdLVTqqeMg
112,Armbar Escape from Guard (Saulo Ribeiro - BJJLibrary.com),82000.0,https://www.youtube.com/watch?v=qO6XeabbMgA
87,Lasso Double De la Riva Sweeps by Ricardo De la Riva from BJJ Library Seminar,81000.0,https://www.youtube.com/watch?v=kKtoB8Fsocs
45,BJJ Library Challenge One - Episode 1,79000.0,https://www.youtube.com/watch?v=EN1bvhDJqrU
73,Interview with Fabio Santos (7th Degree BJJ Red and Black Belt),75000.0,https://www.youtube.com/watch?v=dSrEpEa9USo
68,Turtle Guard Transitions and Recovery by Eduardo Telles (BJJLIBRARY.COM),74000.0,https://www.youtube.com/watch?v=fqXet93lrSo
121,Rafael Lovato Jr  - Side Smash Pass from BJJ Library Seminar,74000.0,https://www.youtube.com/watch?v=ISHxUV8QUHA
