,title,view_num,url
543,Octopus Guard FULLY EXPLAINED,88000.0,https://www.youtube.com/watch?v=7GiqoAZmI18
456,Forcing S Mount Armbar,72000.0,https://www.youtube.com/watch?v=D5imnh-Vpac
703,Kiss of the Dragon & Berimbolo,53000.0,https://www.youtube.com/watch?v=BLqyOfrvAoA
737,Nogi Guard Arm Drag and Inverted Arm Bar,46000.0,https://www.youtube.com/watch?v=BieexTKhVH4
516,Levi Mowles TWISTER in Pro MMA!,45000.0,https://www.youtube.com/watch?v=6XEg-Bczuo0
528,Modern Peruvian Necktie & Twister,44000.0,https://www.youtube.com/watch?v=dHAXAAFSes8
670,3 Armbar Setups you MUST KNOW,42000.0,https://www.youtube.com/watch?v=k50aNlq-ayQ
734,Nogi Guard Arm Drag to Pendulum Sweep,41000.0,https://www.youtube.com/watch?v=oVPzrf7quLs
705,"Full Guard Sweep, Kimura & Switch",35000.0,https://www.youtube.com/watch?v=fEyv24UyQwI
453,"Darce vs 100%, Modern 100%, Walsh Choke",34000.0,https://www.youtube.com/watch?v=5ioWPlxgC5M
778,Brandon Quick Armbar Triangle Omoplata drill,32000.0,https://www.youtube.com/watch?v=vwKL4gdQywQ
733,Butterfly Guard Discussion and Strategies,32000.0,https://www.youtube.com/watch?v=eSZnaq-Kzzc
607,"MUST KNOW DARCE details, escape & counter",32000.0,https://www.youtube.com/watch?v=wYz1NNcPbhc
547,ULTIMATE Armbar Escape Series!,28000.0,https://www.youtube.com/watch?v=yPz4kiTjNIw
583,4 techniques from Pulling Guard,26000.0,https://www.youtube.com/watch?v=pPNCmFkQHHE
582,2 North South Escapes Gi & NoGi,24000.0,https://www.youtube.com/watch?v=4kOP9szni4o
432,"Leg Weave, Knee Slice vs Half Guard to Darce",20000.0,https://www.youtube.com/watch?v=l7Ma_BxLiqo
519,X Guard | Inside Sankaku & Leg Locks,19000.0,https://www.youtube.com/watch?v=g9bi52CjSo0
589,The Evolution of the Guillotine,18000.0,https://www.youtube.com/watch?v=zvR96zRdoQw
565,Butterfly Sweep vs Half Guard Pass,14000.0,https://www.youtube.com/watch?v=oO38jf-OQ9k
584,3 Back Takes from X Guard,14000.0,https://www.youtube.com/watch?v=zdRPbnwG-WM
497,Side Control Sit Up Escape Series,13000.0,https://www.youtube.com/watch?v=bElcQw4VVbU
720,Brandon Quick Russian Tie to Kimura,13000.0,https://www.youtube.com/watch?v=qBzsGGfEwjs
696,Peruvian and Japanese Necktie Combo,12000.0,https://www.youtube.com/watch?v=z6MjMPPfM2c
431,Peruvian Necktie to Gator Choke and Armbar,12000.0,https://www.youtube.com/watch?v=9jfvaldF36c
729,BJJ Escaping Side Control & Sweeping,12000.0,https://www.youtube.com/watch?v=3_aLxjkDIq8
706,Brandon Quick Peruvian Neckties,12000.0,https://www.youtube.com/watch?v=dL9hx-0V62A
