,title,view_num,url
186,3 super magical side control escapes,380000.0,https://www.youtube.com/watch?v=IVwHZGAL7gM
106,Top 5 Most Painful Submission in Jiu-jitsu,240000.0,https://www.youtube.com/watch?v=-A8Z83izHAE
193,16yr old vs 300 pounder BJJ match,200000.0,https://www.youtube.com/watch?v=jvcn5iCugRY
153,What Happens When You Pick On White Belts,130000.0,https://www.youtube.com/watch?v=fLjZRMtGmdA
213,8 BJJ solo drills to improve your guard,120000.0,https://www.youtube.com/watch?v=57Nfby-P9m8
115,How to Frustrate and Open The Guard In BJJ (+Log Splitter Guard Break),98000.0,https://www.youtube.com/watch?v=w1w9lWHQ_RI
159,This Knee Shield series works great for me!,91000.0,https://www.youtube.com/watch?v=fKIZ3f23M3s
203,Submission for BJJ white belts when losing guard,61000.0,https://www.youtube.com/watch?v=SpxL6Fg740g
172,The Beast(165lb) vs big Wrestler(300+lbs) (plus other matches from absolute),54000.0,https://www.youtube.com/watch?v=dRDR1WFnbqo
156,3 Super Magical Mount Escapes,40000.0,https://www.youtube.com/watch?v=xMCBYICMsVk
243,This Is One Of The BEST Things For BJJ White Belts To Learn,33000.0,https://www.youtube.com/watch?v=Cqw5a528uF4
158,Make Them Scared With This Choke,30000.0,https://www.youtube.com/watch?v=Y3UwkY8DsSE
141,The Easiest BJJ triangle setup ever (rob promoted?!),29000.0,https://www.youtube.com/watch?v=avGgIkKNOlo
131,One of the Best White Belt Takedowns to Learn,28000.0,https://www.youtube.com/watch?v=dUhza7TEkdA
177,"CHAD ""THE BEAST"" HARDY HIGHLIGHT VIDEO",26000.0,https://www.youtube.com/watch?v=cDFQ9naHBao
244,Increase Your Open Guard Passing Defense With These Simple Tips,24000.0,https://www.youtube.com/watch?v=GdzsIrrSpHc
232,Get More Taps With The BJJ Darce Choke Using This,23000.0,https://www.youtube.com/watch?v=528y7fDU3QI
28,A BJJ Brown Belt Wrestler Showed Me This Easy Gi Takedown,22000.0,https://www.youtube.com/watch?v=NQY2LqnBgxo
164,Why I Quit (I worked hard for this),21000.0,https://www.youtube.com/watch?v=QPP1B87faQI
104,I’ve Used This Armbar Setup So Many Times,21000.0,https://www.youtube.com/watch?v=lLXk-yM5YHA
231,Funny BJJ Side Control Escape That Will Leave You Thinking,20000.0,https://www.youtube.com/watch?v=zzgh-eErT3w
202,Unexpected Counter To The BJJ Guillotine (this will get you out!),19000.0,https://www.youtube.com/watch?v=_GrFUlgO6xk
87,This Armbar Will Blow You Away,19000.0,https://www.youtube.com/watch?v=c2mASvuhOoU
29,My Blue Belt Game Changing Technique,19000.0,https://www.youtube.com/watch?v=abNIbnWFkek
178,This side control submission will get you taps (NO lIABILITIES!),18000.0,https://www.youtube.com/watch?v=mid6HXPjALU
219,How to prevent getting stacked while holding the triangle,17000.0,https://www.youtube.com/watch?v=X2nge9KjkFE
75,Your New Favorite Knee on Belly Counter,17000.0,https://www.youtube.com/watch?v=hXDaNONgrGA
201,18yr old purple belt vs black belt,17000.0,https://www.youtube.com/watch?v=6-eZQF03YFc
146,Lanky grapplers Eliminate Closed guard like this!,16000.0,https://www.youtube.com/watch?v=_l5Hnfcndco
80,Countering the Single/Double Leg with a Devastating Throw,16000.0,https://www.youtube.com/watch?v=Ytz0oyMBtgw
206,Amazing Pass for Taller Jiu Jitsu players,16000.0,https://www.youtube.com/watch?v=3R0USiEAazE
113,Beautiful BJJ Sweep From Closed Guard (shut down standing guard breakers),16000.0,https://www.youtube.com/watch?v=EovVcCUf8Ng
66,Taming a Jiu-Jitsu SPAZ (How to Roll With a Spazzy Partner),15000.0,https://www.youtube.com/watch?v=kGa7--TxqFY
144,The knee Shield crusher,14000.0,https://www.youtube.com/watch?v=BFbMQwi7Pso
62,Lighting Fast Takedown That is Easy to Pick Up(Chads Favorite Takedown),14000.0,https://www.youtube.com/watch?v=t73v9MnXcx4
77,Escaping Side Control to a Sneaky Submission,14000.0,https://www.youtube.com/watch?v=CbbGmH6jsiQ
169,Get taps with this Nasty submission setup,13000.0,https://www.youtube.com/watch?v=qDMZSjG8XaQ
56,Mind Blowing Guard Pass to Use Against Flexible Guards,13000.0,https://www.youtube.com/watch?v=SvNOXI3gOXI
118,Easy Posture Break Against Strong Grapplers,13000.0,https://www.youtube.com/watch?v=JH7ren5zmig
151,I’m Stuck in Half Guard and I Can’t Get Out! (Sorry Rob),13000.0,https://www.youtube.com/watch?v=SSCiD4x6dRk
114,Powerful Guillotine Escape (Perfect for Wrestlers),12000.0,https://www.youtube.com/watch?v=wnO0bDR_DpA
149,Have You Seen This Submission?! The Cryangle :.(,12000.0,https://www.youtube.com/watch?v=HXAALxamr5k
107,Tall/Lanky BJJ Players Need This Guard In Thier Game,12000.0,https://www.youtube.com/watch?v=CeDQPIl3ftU
78,One of the Best Beginner Sweeps to Learn In JiuJitsu,12000.0,https://www.youtube.com/watch?v=g-pB2wq5op4
79,3 ways to finish the bow and arrow choke,12000.0,https://www.youtube.com/watch?v=J_DYQmafs0A
90,How Not To React In Tournaments...,12000.0,https://www.youtube.com/watch?v=RJdjP_kExSw
248,Best Position in BJJ For Taller Grapplers,12000.0,https://www.youtube.com/watch?v=PjJKHgrc11A
174,Crazy double under pass Escape,12000.0,https://www.youtube.com/watch?v=3VGrqoh_cJc
237,Maximize Guillotine Success With These Simple Tips,12000.0,https://www.youtube.com/watch?v=DPKhbTth0So
254,Highly Successful Scarf-Hold Submission,12000.0,https://www.youtube.com/watch?v=jBlYdbz9MEg
252,HOW TO SUBMIT THE STRONG MAN!,11000.0,https://www.youtube.com/watch?v=piBjenhS8FQ
122,Have You Ever Seen This at a Tournament???,11000.0,https://www.youtube.com/watch?v=1qzjIpFWBYs
220,Stop Your Triangle From Getting Smashed With This,11000.0,https://www.youtube.com/watch?v=X-pr_sK4eto
59,"This Jiu-Jitsu Sweep is Beautiful and Looks Effortless (The table rule) | Chad “The Beast"" Hardy",11000.0,https://www.youtube.com/watch?v=AV5Jvj-Axss
173,The Most painful arm bar you can imagine,11000.0,https://www.youtube.com/watch?v=mjvvEN5s7tA
30,Finding Your Way Out Of The BJJ Knee On Belly,11000.0,https://www.youtube.com/watch?v=kRP2DsyZSQU
171,Never get passed by this again!,11000.0,https://www.youtube.com/watch?v=Hd2CqsuTGt0
134,Tips to create a powerful mount,11000.0,https://www.youtube.com/watch?v=CzG4_UmEFrA
