,title,view_num,url
206,Black Belt Nearly Choked Unconscious By White Belt,1150000.0,https://www.youtube.com/watch?v=Ft-aIOT8mB4
83,I'm Not Ready For My Blue Belt,210000.0,https://www.youtube.com/watch?v=Rf1KWwCJuEs
311,Closed Guard Sweep Hip Bump Sweep.mov,100000.0,https://www.youtube.com/watch?v=9gOLkgms0QU
291,Closed Guard Submission Omoplata,100000.0,https://www.youtube.com/watch?v=Hec0Qa0G83M
156,Helicopter Choke,100000.0,https://www.youtube.com/watch?v=DLwzai0wviA
261,Half Guard Submission- The Darce,84000.0,https://www.youtube.com/watch?v=TomfkAhqnlI
197,North South Escape Hermit Crab,76000.0,https://www.youtube.com/watch?v=M5gzr5PAHiI
263,Knee on Belly Escape Stuff the Ankle,73000.0,https://www.youtube.com/watch?v=o8P1auuxnsE
254,Half Guard Sweep Kimura Roll,62000.0,https://www.youtube.com/watch?v=gvKee6ZKw_o
296,Closed Guard Sweep Pendulum Sweep,59000.0,https://www.youtube.com/watch?v=hsdrKk-5M5A
171,One Handed Loop Choke,58000.0,https://www.youtube.com/watch?v=smbhHKzN1x8
198,North South Submission The Amazing,57000.0,https://www.youtube.com/watch?v=4t7sYSG11_s
202,North South Submission Tie Off to Bow and Arrow,52000.0,https://www.youtube.com/watch?v=FN6QJ7v8Zfg
90,Side Control Escape Series,51000.0,https://www.youtube.com/watch?v=91X2LyJUcYg
273,Half Guard Pass Reverse Sit,51000.0,https://www.youtube.com/watch?v=5DpTuRXCTV0
262,Armbar Defense The Coffee Grinder,47000.0,https://www.youtube.com/watch?v=-WwJQ_UjHg4
268,Knee on Belly Submission Baseball Choke,47000.0,https://www.youtube.com/watch?v=5iqddnj0KLo
238,Open Guard Pass Zipper Pass,46000.0,https://www.youtube.com/watch?v=viI-EQyOAdI
347,Mount Escape Hip Escape,45000.0,https://www.youtube.com/watch?v=K4CeUdqbxvE
132,Chilean Necktie from Side Control,44000.0,https://www.youtube.com/watch?v=V8n2ajqA_-w
87,Knee Shield Pocket Sweep,44000.0,https://www.youtube.com/watch?v=UPMEXkyqHGc
267,Knee on Belly Defense Hip Pump,42000.0,https://www.youtube.com/watch?v=pk97YfUdfPU
260,Half Guard Sweep-Wrist Control (the Anti Darce),41000.0,https://www.youtube.com/watch?v=uR90yYoddX8
104,Turtle Submission Japanese Necktie,41000.0,https://www.youtube.com/watch?v=1zGVNUItbEE
203,North South Submission Kimura,37000.0,https://www.youtube.com/watch?v=ZFwS97dmH_4
155,Step Over Choke,37000.0,https://www.youtube.com/watch?v=Gl6SRcwq0gg
249,Open Guard Sweep Push Pull Sweep,37000.0,https://www.youtube.com/watch?v=B2XUFF6J-jk
287,Closed Guard Sweep Pocket Sweep,36000.0,https://www.youtube.com/watch?v=LUWjApeOyvo
330,Mount Submission Ezekiel.mov,36000.0,https://www.youtube.com/watch?v=0JiDSGR94VY
110,Kesa Gatame to Guillotine Choke,36000.0,https://www.youtube.com/watch?v=azHAsDewgDM
136,Side Control Reversal Elbow Roll,36000.0,https://www.youtube.com/watch?v=TMJRwVIw_Jg
175,Half Guard Submission Guillotine Choke,35000.0,https://www.youtube.com/watch?v=zNusOsjrEDQ
86,Passing the Knee Shield,33000.0,https://www.youtube.com/watch?v=D1kLjeR18u8
321,Side Control Submission Bow and Arrow Choke.mov,33000.0,https://www.youtube.com/watch?v=SIZ1Sfd_GN0
284,Closed Guard Sweep Low Hip Bump,33000.0,https://www.youtube.com/watch?v=-w7iM46_BOk
218,Open Guard Pass Step Through Pass,33000.0,https://www.youtube.com/watch?v=clJhnXXktU0
186,Side Control Submission Triangle from Bottom Side Control,31000.0,https://www.youtube.com/watch?v=_chjC5VYhJU
276,Half Guard Sweep Insurance Plan,31000.0,https://www.youtube.com/watch?v=Wn0CNKjHpxI
315,Closed Guard Submission Basic Armbar.mov,28000.0,https://www.youtube.com/watch?v=bvOFS7viaa4
331,Mount Submission Lazy Armbar.mov,28000.0,https://www.youtube.com/watch?v=XYtyXDoEf6k
158,Deep Half Entry,27000.0,https://www.youtube.com/watch?v=pSJMsA2Hppo
285,Closed Guard Sweep Lapel Feed Power Sweep,26000.0,https://www.youtube.com/watch?v=pm7dAgw14DY
109,Kesa Gatame Arm trap to Triangle,26000.0,https://www.youtube.com/watch?v=FehHOE-z780
112,Rolling Baseball Choke,26000.0,https://www.youtube.com/watch?v=GM-VxZyiV4Y
125,Guard Passing with the Hips,24000.0,https://www.youtube.com/watch?v=XAqU54FYu1Q
211,X Guard Defense Push Foot to Floor,23000.0,https://www.youtube.com/watch?v=goKm7AbHv88
174,3 Quarter Mount Sneaky Choke,23000.0,https://www.youtube.com/watch?v=AvSiIVppoeU
252,Quarter Guard Sweep Wing Sweep,23000.0,https://www.youtube.com/watch?v=rA1ZabFVuAc
259,Half Guard Pass- Dragon Tail,22000.0,https://www.youtube.com/watch?v=LZY2UP3U1eo
165,Grapevine Escape,22000.0,https://www.youtube.com/watch?v=H3UOOsF1swI
205,North South Transition Escape to Turtle,21000.0,https://www.youtube.com/watch?v=EqV7sEfOO5g
215,Open Guard Defense Defense to the De La Riva Hook,21000.0,https://www.youtube.com/watch?v=9enHxwVV0vo
297,Closed Guard Pass Guitar Hero,21000.0,https://www.youtube.com/watch?v=5MY8adYtalM
288,Closed Guard Submission Reverse Armbar,21000.0,https://www.youtube.com/watch?v=gXcipZ6ePkE
159,Kimura Grip Armbar,21000.0,https://www.youtube.com/watch?v=UpvXF7wO4ds
66,Half Guard and Quarter Guard,20000.0,https://www.youtube.com/watch?v=m_9F1vMtQDs
282,Omoplata Defense Turtle Roll,20000.0,https://www.youtube.com/watch?v=1BmAmc4f290
138,Closed Guard Submission No Arm Triangle,20000.0,https://www.youtube.com/watch?v=Ddk0suuLmvA
214,Open Guard Pass Zorro Pass,20000.0,https://www.youtube.com/watch?v=lsgX9chkuY8
272,Half Guard Submission Kimura,20000.0,https://www.youtube.com/watch?v=oQGpZaYkq4I
343,Side Control Theory and Side Control Submission Paper Cutter.mov,19000.0,https://www.youtube.com/watch?v=HDAEVyDzgw4
208,De La Riva Guard from Combat Base 1,18000.0,https://www.youtube.com/watch?v=RrnJ--tGlnU
200,North South Submission Head Scissor,18000.0,https://www.youtube.com/watch?v=dNEq8UDGV2A
119,Open guard Pass Samurai Pass,18000.0,https://www.youtube.com/watch?v=Q5hzsWh2kIU
323,Side Control Submission Far Side Armbar.mov,18000.0,https://www.youtube.com/watch?v=MgBkmyCQ754
183,North South Submission North South Choke,18000.0,https://www.youtube.com/watch?v=gzn3a1m4Gbc
178,North South Choke North South Choke Counter,18000.0,https://www.youtube.com/watch?v=1BCbmI1hpDU
77,Defense to Baseball Chokes from Bottom,17000.0,https://www.youtube.com/watch?v=oO0Jr6ijuWc
140,Turtle Choke Rommel Choke,17000.0,https://www.youtube.com/watch?v=Ci7f6JPSPBc
353,Mount Submission Cross Collar Choke,17000.0,https://www.youtube.com/watch?v=241_wEaj7eI
96,Deep Half Guard Week in Review,17000.0,https://www.youtube.com/watch?v=nxrSTG0gg80
310,Closed Guard Pass Stacking Pass.mov,17000.0,https://www.youtube.com/watch?v=pVtQktqv32E
227,Leg Weave Entrance and Basic Sweep,16000.0,https://www.youtube.com/watch?v=gmnF-4PYGfA
248,Open Guard Sweep Hook and Sickle,16000.0,https://www.youtube.com/watch?v=jBxCESmRoFo
274,Half Guard Pass Defense Push on Face,16000.0,https://www.youtube.com/watch?v=QqljEjrdr5w
275,Guard Pass Tackle Pass,16000.0,https://www.youtube.com/watch?v=lR7Q8cbujqQ
309,Closed Guard Pass Two on One.mov,16000.0,https://www.youtube.com/watch?v=1ZmcGCm6SFg
161,Reverse Sit Escape,15000.0,https://www.youtube.com/watch?v=L_hmWnJi-zc
108,Kesa Gatme Arm Trap to Gear Shift,15000.0,https://www.youtube.com/watch?v=X88YlmaMF-0
326,Side Control Submission Pedron Choke.mov,15000.0,https://www.youtube.com/watch?v=Jkkr7BvQwuE
316,Closed Guard Submission Cross Collar Choke.mov,15000.0,https://www.youtube.com/watch?v=38c1RLuEy6k
292,Closed Guard Pass Double Pants Control,15000.0,https://www.youtube.com/watch?v=lHpWc-dPfZ8
246,Open Guard Pass Motorcycle Pass,15000.0,https://www.youtube.com/watch?v=E71FzKABzJ0
286,Closed Guard Submission Lapel Feed Armbar,15000.0,https://www.youtube.com/watch?v=egYKDoOaMdg
80,Roman Paper Cutter,15000.0,https://www.youtube.com/watch?v=eCtr0lKFW1w
242,Open Guard Sweep Koala Bear,15000.0,https://www.youtube.com/watch?v=0As4Ux1qdRY
300,Back Control Submission Bow and Arrow Choke,14000.0,https://www.youtube.com/watch?v=YoX8fNbA9l4
279,Half Guard Concept Regain The Under Hook,14000.0,https://www.youtube.com/watch?v=TTOmuovToRA
313,Closed Guard Sweep Scissor Sweep.mov,14000.0,https://www.youtube.com/watch?v=2zbP-OT2_98
270,Knee on Belly Windshield Wiper,14000.0,https://www.youtube.com/watch?v=E9GHGZmXkJw
111,Kesa Gatame to Keylock with Legs,14000.0,https://www.youtube.com/watch?v=_OqF54Rr1kk
322,Side Control Submission Reverse Armbar.mov,14000.0,https://www.youtube.com/watch?v=VESWR2etPfg
253,Half Guard Pass Luis Pass,14000.0,https://www.youtube.com/watch?v=2S_nR7apgkg
334,The Power of Visualization .mov,14000.0,https://www.youtube.com/watch?v=HKn_EqANi9g
129,Important Concepts,14000.0,https://www.youtube.com/watch?v=hKbr-JfjV0w
177,North South Choke Variation 1 Arm In,14000.0,https://www.youtube.com/watch?v=BHVlMezFOEM
85,Knee Shield Pass Wing Pass,14000.0,https://www.youtube.com/watch?v=hc6DPLW-VgE
283,Omoplata Variation The Good Omoplata,13000.0,https://www.youtube.com/watch?v=lHXPeEtTJX4
89,Your Commitment in BJJ,13000.0,https://www.youtube.com/watch?v=RdPBR4nLpe0
181,Lapel Choke from Butterfly Guard,13000.0,https://www.youtube.com/watch?v=waOf2loA0tk
157,Bench Press Sweep Deep Half,13000.0,https://www.youtube.com/watch?v=wATUoIvm-eA
196,NEWBREED ULTIMATE CHALLENGE CHARLOTTE MAY 4th 2013,13000.0,https://www.youtube.com/watch?v=jMOLUD6rGlg
216,Open Guard Pass Kick and Go Pass,13000.0,https://www.youtube.com/watch?v=AakUpwLzRVA
139,De La Riva Pass Rommel Pass,13000.0,https://www.youtube.com/watch?v=Z-KQmSVeuiI
255,Half Guard Transition Reverse Knee Shield to Under Hook,13000.0,https://www.youtube.com/watch?v=N6AHfdxMFnk
328,Side Control Submission Step Over Armbar.mov,12000.0,https://www.youtube.com/watch?v=uHZ77gnixwg
277,Half Guard Pass Underhook and Tripod,12000.0,https://www.youtube.com/watch?v=3OsPPWGqcBg
97,Half Guard Leg Knot,12000.0,https://www.youtube.com/watch?v=4fV3mx3Y_dE
133,Transition Side Control to Back,12000.0,https://www.youtube.com/watch?v=4elwM1zK868
340,Side Control Escape Pummel to Back.mov,12000.0,https://www.youtube.com/watch?v=wQcqHVbsHQE
312,Closed Guard Submission Kimura.mov,12000.0,https://www.youtube.com/watch?v=HEh5BpB9wOY
82,The Proper Way to Knee Cut,12000.0,https://www.youtube.com/watch?v=9A6AmfiIXd4
188,Kimura Counter,12000.0,https://www.youtube.com/watch?v=YhOG8rFBomo
163,Stacking Counter,12000.0,https://www.youtube.com/watch?v=7SPEkJpaSRA
145,Body Crush From Kesa Kamta,12000.0,https://www.youtube.com/watch?v=baiTE16e5xE
143,Turtle Reversal Hotdog Roll,12000.0,https://www.youtube.com/watch?v=Pq3l5V8Y8eQ
294,Closed Guard Submission Triangle Choke,12000.0,https://www.youtube.com/watch?v=JCSgIE_EkWw
98,The BJJ Puzzle,11000.0,https://www.youtube.com/watch?v=1qMVgwN2Z_U
329,Side Control Escape Wrestler Under Arm Spin.mov,11000.0,https://www.youtube.com/watch?v=Ka4SG8MQpCg
24,Reverse Kimura,11000.0,https://www.youtube.com/watch?v=qFtm3RTXdpI
151,Spider Guard Pass Step on Thigh,11000.0,https://www.youtube.com/watch?v=fYgMDkAEhHY
324,Side Control Escape Recompose Guard.mov,11000.0,https://www.youtube.com/watch?v=s9a3eX-zJlM
120,Half Guard Pass Reverse Knee Cut,11000.0,https://www.youtube.com/watch?v=IMZ5fz0nmJo
182,North South or Side Control Submission The Padlock,11000.0,https://www.youtube.com/watch?v=aN9n02o83Ko
351,Mount Escape Upa,11000.0,https://www.youtube.com/watch?v=pR_G3yl9zY4
318,Mounted Submission Straight Arm Lock.mov,11000.0,https://www.youtube.com/watch?v=Q6YFYFBlh88
265,Knee on Belly Submission Near Side Armbar,11000.0,https://www.youtube.com/watch?v=XFzcD5dMFLE
222,Leg Weave Sweep Amazon Sweep,11000.0,https://www.youtube.com/watch?v=QYW0YdzzoH4
327,Kesa Gatame Escape Lapel Punch.mov,10000.0,https://www.youtube.com/watch?v=StY6xPBBfjY
258,Half Guard Defense Back Step Defense,10000.0,https://www.youtube.com/watch?v=bnWxSUUiBCA
204,Side Control Transition Hip Bind,10000.0,https://www.youtube.com/watch?v=hvRNOEATc7M
114,Mount Body Hug Defense,10000.0,https://www.youtube.com/watch?v=eXBKdKeHtmw
213,X Guard Sweep Roll to Knee on Belly,10000.0,https://www.youtube.com/watch?v=FRosy-L4whE
190,Armbar Defense to Deep Half Guard,10000.0,https://www.youtube.com/watch?v=dUVGFpvzDSY
91,Countering the Elbow Push,10000.0,https://www.youtube.com/watch?v=iKZUZCOXxpk
342,Side Control Escape Hand Spear Leg Tackle .mov,10000.0,https://www.youtube.com/watch?v=7BThLqAAC9w
105,Open Guard Pass Pony Pass,10000.0,https://www.youtube.com/watch?v=JTHrtItlhns
336,Side Control Submission Kimura.mov,10000.0,https://www.youtube.com/watch?v=B2QZErlPVUM
226,Jiu Jitsu Prank Halloween,9900.0,https://www.youtube.com/watch?v=05KxwjjzpmU
150,Triangle from Armbar Position,9800.0,https://www.youtube.com/watch?v=DeoRPz72WZw
352,Mount Submission Key Lock.mov,9700.0,https://www.youtube.com/watch?v=hbk6G04Vjpc
212,X Guard Sweep Drop Ankle and Dump,9700.0,https://www.youtube.com/watch?v=HsMB7qWG0wU
314,Closed Guard Armbar Defense.mov,9500.0,https://www.youtube.com/watch?v=SQm69UxzALc
245,Open Guard Pass Rockstar Pass,9500.0,https://www.youtube.com/watch?v=Vsk2w2AMja4
338,Side Control Submission Arm Triangle.mov,9500.0,https://www.youtube.com/watch?v=qdhIUG1wCFo
