,title,view_num,url
160,Jiu-Jitsu Escapes | 5 Ways Out of The Mount,1830000.0,https://www.youtube.com/watch?v=pw_9ZZLkkNI
78,The First Five Submissions You Need To Know | Jiu-Jitsu Basics,1360000.0,https://www.youtube.com/watch?v=hY35pBOfSNk
154,Jiu-Jitsu Submissions | Lots of Closed Guard Submissions,820000.0,https://www.youtube.com/watch?v=SZmnh7yZlOw
159,Solo Drills for Grappling & Functional  Mobility,570000.0,https://www.youtube.com/watch?v=Ds9N8ftsD6E
157,"Jiu-Jitsu Escapes | Ways Out of Side Control, Scarf & Knee on Belly",540000.0,https://www.youtube.com/watch?v=S_vtppaNxoc
137,Jiu-Jitsu Guard Passes | 6 Basic but Effective Guard Passes for Gi or No Gi,500000.0,https://www.youtube.com/watch?v=7v_M_ea_7Ik
156,Jiu-Jitsu Techniques | 10 Answers for Ground Vs Standing,380000.0,https://www.youtube.com/watch?v=FoIUnpm5Kmc
83,The First 4 Sweeps You Need To Know | Jiu-Jitsu Basics,380000.0,https://www.youtube.com/watch?v=qp5AXBHxQec
143,Jiu-Jitsu Takedowns for People Who Suck at Takedowns,370000.0,https://www.youtube.com/watch?v=E8a9RGU_Ea0
164,BJJ Techniques - Lots of Submissions from Side Control,340000.0,https://www.youtube.com/watch?v=wVSLLFxix3g
42,"5 Chokes Everyone Needs to Know (well, Five-ish anyway) | Jiu-Jitsu Fundamentals",310000.0,https://www.youtube.com/watch?v=SrWZLEJLOmo
150,Jiu-Jitsu Techniques - 5 Arm Drag Options,260000.0,https://www.youtube.com/watch?v=f39EkpJhBHE
115,BS Jiu-Jitsu Techniques That Actually Work,230000.0,https://www.youtube.com/watch?v=WyWRaalo_t4
152,Jiu-Jitsu Submissions | 15 High Percentage Attacks from Mount,210000.0,https://www.youtube.com/watch?v=hgmFq49JvsE
66,Kimuras from Everywhere | The Double Wrist Lock Mini-Seminar,200000.0,https://www.youtube.com/watch?v=pzjMS7-SBls
72,Triangle Chokes from Almost Everywhere | A Mini-Seminar,190000.0,https://www.youtube.com/watch?v=kTW9tXjh-NY
158,"Don't Get Smashed | Jiu-Jitsu Sweeps, Subs & Reversals",190000.0,https://www.youtube.com/watch?v=yBeAG5jeOe8
195,Jiu-Jitsu Street Self-Defense Technique - Chest Push Defense,170000.0,https://www.youtube.com/watch?v=ywF430WRdA8
155,Jiu-Jitsu Escapes | 5 Ways Out of Back Mount,140000.0,https://www.youtube.com/watch?v=rHr_Xge5eIw
125,Jiu-Jitsu Submissions | Lots of No Gi Chokes,140000.0,https://www.youtube.com/watch?v=KI5bFWpySVE
224,Best Solo BJJ Drills,130000.0,https://www.youtube.com/watch?v=sCWZMoaPwxs
73,Jiu-Jitsu Street Self-Defense in Boston,130000.0,https://www.youtube.com/watch?v=iadMJS1xWKM
145,Jiu-Jitsu Escapes | 5 Ways Out of Headlocks on The Ground,120000.0,https://www.youtube.com/watch?v=Zyz3YY00n14
59,First Five Escapes You Need to Know | Jiu-Jitsu Basics,110000.0,https://www.youtube.com/watch?v=775gXyYzB08
142,Jiu-Jitsu - Knee on Belly Attacks,100000.0,https://www.youtube.com/watch?v=3p-6MUsIy90
68,Six Triangle Choke Escapes | From Early to Very Late,83000.0,https://www.youtube.com/watch?v=XvsneDpJ18Y
62,Arm Triangles from Everywhere | Head & Arm Mini-Seminar,82000.0,https://www.youtube.com/watch?v=zX4K7lFLhu8
165,Preventing The Guard Pass - No Gi BJJ,81000.0,https://www.youtube.com/watch?v=mhgtmj8JhZ8
124,Jiu-Jitsu Submissions | Lots of No Gi Chokes Part 2,80000.0,https://www.youtube.com/watch?v=CElaGSNS_NE
140,Jiu-Jitsu Techniques | Lots of Ways to Take The Back - Basic & Not-So-Basic,75000.0,https://www.youtube.com/watch?v=0vy0zPYLMaM
174,BJJ Chokes - How To Do The Anaconda Choke & The Darce Choke,70000.0,https://www.youtube.com/watch?v=vJr2o8B1rDM
148,Jiu-Jitsu Self-Defense | 4 Options For Grabs From Behind,70000.0,https://www.youtube.com/watch?v=vfMHgEODn6k
134,Jiu-Jitsu Techniques | Submissions from BAD Positions,69000.0,https://www.youtube.com/watch?v=_M6prJeiQ0g
123,Helpful Guide to Common BJJ Guard Types,66000.0,https://www.youtube.com/watch?v=tLyY7IubU2w
95,How Butterfly Guard Works - A Micro-Seminar | Jiu-Jitsu Techniques with Eli Knight,64000.0,https://www.youtube.com/watch?v=VyZJefkjr1w
57,Submissions from Bad Positions | Jiu-Jitsu Anti-Fundamentals,62000.0,https://www.youtube.com/watch?v=tk3fM6IC9aI
153,Jiu-Jitsu Drills | Conditioning and Mobility Partner Drills,61000.0,https://www.youtube.com/watch?v=R8Bjwih21Xw
190,Street Jiu-Jitsu - Striking to Takedown Technique BJJ,59000.0,https://www.youtube.com/watch?v=2uxMcbJ3GwM
8,Seven Stupid Simple Guard Passes | Jiu-Jitsu Tricks,57000.0,https://www.youtube.com/watch?v=Q4rc_P31Oqo
