,title,view_num,url
766,Two WORST Martial Arts Techniques Ever!,3710000.0,https://www.youtube.com/watch?v=kvTxH11O2HU
593,The Most Dangerous Takedown in Judo & BJJ,2700000.0,https://www.youtube.com/watch?v=XRklGgwpbj0
743,Five Triangle Chokes You Must Know,1860000.0,https://www.youtube.com/watch?v=FbXunEbkf8E
576,2 Easy Takedowns for People Who Don't Do Takedowns,1720000.0,https://www.youtube.com/watch?v=8uaFGdlYwOw
690,Best Takedown vs Bigger Opponents?,1350000.0,https://www.youtube.com/watch?v=WQf_pSK6zGk
664,4 Tips to Pass ANY Guard,1330000.0,https://www.youtube.com/watch?v=TPjKqHQzM-U
654,How to Escape Kesa Gatame and the Headlock,1130000.0,https://www.youtube.com/watch?v=9Im8IKc8NeY
637,The 3 Fanciest Leglocks That Actually Work...,1110000.0,https://www.youtube.com/watch?v=Fc0z-rCZP5g
739,BJJ Self Defense Lesson 2: Escaping the Mount,1030000.0,https://www.youtube.com/watch?v=PJz8YQ5rXZw
607,5 Reasons to Grapple in a Streetfight,960000.0,https://www.youtube.com/watch?v=wCj0IfpFjqY
662,How to Escape the Triangle Choke from Guard,950000.0,https://www.youtube.com/watch?v=szAvJFvIzx4
720,A Mount Escape that Works Against Larger Opponents,820000.0,https://www.youtube.com/watch?v=q2OAJF__P2w
629,How to Escape the Rear Naked Choke,780000.0,https://www.youtube.com/watch?v=JR2e0IsqhrQ
705,How to do a Standing Kimura Armlock,720000.0,https://www.youtube.com/watch?v=SnLuzJi23MA
734,"Marcelo Garcia On How To Defeat A Bigger, Stronger Opponent",620000.0,https://www.youtube.com/watch?v=NV692quvkYc
784,A Rear Naked Choke Tutorial,610000.0,https://www.youtube.com/watch?v=176SLdBhj_A
553,The Easiest Move in Jiu-Jitsu,580000.0,https://www.youtube.com/watch?v=ndi0GwXiJe4
731,How to do the North South Choke by Marcelo Garcia,560000.0,https://www.youtube.com/watch?v=RkFHJHC58qc
594,How to Tie Your BJJ or Judo Belt,560000.0,https://www.youtube.com/watch?v=JZHIDu0cuCM
612,The Omoplata vs the Marceloplata vs the Baratoplata.,520000.0,https://www.youtube.com/watch?v=tfvEGtSCIRI
611,How To Do The Berimbolo The Easiest Way,470000.0,https://www.youtube.com/watch?v=A6rFk8pUCIc
526,The 2 Simplest No Gi Takedowns,460000.0,https://www.youtube.com/watch?v=ARR7xjOEHWA
712,10 Ways to Finish the Armbar,450000.0,https://www.youtube.com/watch?v=8wNQ5UGLQHk
701,Differences between Judo and BJJ Groundwork,430000.0,https://www.youtube.com/watch?v=oZ3dtX5MNzQ
640,The First Sweep You Should Learn from the Half Guard,380000.0,https://www.youtube.com/watch?v=l12Rm-4yvOA
736,BJJ Self Defense Lesson 5: Headlock Defense,380000.0,https://www.youtube.com/watch?v=hyMbOrV92Dk
512,How to Do the D'Arce Choke (aka the No Gi Brabo Choke),340000.0,https://www.youtube.com/watch?v=tja1ct3Ps94
274,The Easiest Way To Do The Imanari Roll,340000.0,https://www.youtube.com/watch?v=2-y3dF8fKyg
722,Escaping Sidemount Against a Larger Grappler,340000.0,https://www.youtube.com/watch?v=1iZjnbCun0A
698,How to Pin and Submit Bigger People from Sidemount,340000.0,https://www.youtube.com/watch?v=okMs4Gl46ag
625,The Bow and Arrow Choke with Killer Gripping Details,330000.0,https://www.youtube.com/watch?v=nS6ALx73epc
621,The Sidemount Escape Used Most Often in High Level BJJ,330000.0,https://www.youtube.com/watch?v=ygfnLjP6YQU
591,Sneaky Armbar Escape,320000.0,https://www.youtube.com/watch?v=gLnsv9QT_BU
376,How to Escape a Really Tight Side Control,320000.0,https://www.youtube.com/watch?v=5ALqUk9uefk
764,The Armbar: Three Most Common Errors,280000.0,https://www.youtube.com/watch?v=Mx5CEJS_ZEU
663,How to Defend Against the Armbar from Guard,280000.0,https://www.youtube.com/watch?v=bEGOaGOOZA4
695,How to Defend Big Guy Attacks (and the Honor of Jiu-Jitsu),280000.0,https://www.youtube.com/watch?v=pPhN08TQQNk
587,The Easiest Way to Teach the Armbar from Guard,270000.0,https://www.youtube.com/watch?v=ZOlNtDJ60DY
355,What To Do When You're Starting BJJ Sparring On Your Knees,270000.0,https://www.youtube.com/watch?v=ObTZTQgWowE
753,How to Sweep a Larger Opponent,270000.0,https://www.youtube.com/watch?v=AVNcWerm1-M
782,How to Finish the Kimura Armlock Submission from Half Guard,260000.0,https://www.youtube.com/watch?v=rdVWyYb61IM
714,A Cool Trick for the Rear Naked Choke,260000.0,https://www.youtube.com/watch?v=-ciTiubaFa8
