,title,view_num,url
74,The Top 5 Moves For White Belts,280000.0,https://www.youtube.com/watch?v=SpWfuVhqQsk
242,The Awesome D'arce Choke - One Of My Favourites!,270000.0,https://www.youtube.com/watch?v=v_WjtZVGzvE
46,The Kesa Gatame Kill System,160000.0,https://www.youtube.com/watch?v=G0Xf_CJzE6M
189,Closed Guard - A Simple But Awesome Move!,140000.0,https://www.youtube.com/watch?v=C52IGiZNBg8
188,An Awesome Submission Series - From Mount,140000.0,https://www.youtube.com/watch?v=fyK6TvKVy8c
300,5 Beginner Mistakes You Are Probably Making - And It's Hurting Your Jiu Jitsu,130000.0,https://www.youtube.com/watch?v=AReJUFsuczg
543,3 AWESOME Hacks to Pass ANY Guard!,110000.0,https://www.youtube.com/watch?v=3dRbzta6Elc
311,Half Guard 101 - What To Do When You Have Someone In Your Half Guard,110000.0,https://www.youtube.com/watch?v=9zKr-xYlPcg
57,"The Amazing Darce - Version 2, NEW",96000.0,https://www.youtube.com/watch?v=iC1Tl7cP_KM
415,How To Get The Omoplata From Closed Guard - EVERYTIME!,94000.0,https://www.youtube.com/watch?v=yOGbaXm3Htw
542,An AWESOME little Trick to Escape Side Control - Every time!,90000.0,https://www.youtube.com/watch?v=up7SgqQyW3M
309,3 Stupid Things (Some) Beginner Students Do That I Hate!,88000.0,https://www.youtube.com/watch?v=FMCUTSTZvAA
41,The Nastiest Choke From Guard,82000.0,https://www.youtube.com/watch?v=GsVSXGrVK4w
396,Two BJJ Lies - I Wish I Knew 10 Years Ago!,81000.0,https://www.youtube.com/watch?v=D4ibUsfDYG8
202,Darce Choke Set ups!,79000.0,https://www.youtube.com/watch?v=-xWYkAdlnss
541,How to use this trick to ESCAPE the rear naked choke - every time!,76000.0,https://www.youtube.com/watch?v=x5o36dSAqqM
491,How to USE A GRAPPLING DUMMY plus a REVIEW!,70000.0,https://www.youtube.com/watch?v=MGiuryZfAmo
527,An AWESOME Mount ESCAPE - And you end up ON TOP!,68000.0,https://www.youtube.com/watch?v=N0lo6IVvsss
55,White Belt Tips For Mount Escapes,66000.0,https://www.youtube.com/watch?v=dYIWSoTw9a0
354,Gogoplata And Locoplata - From Closed Guard!,65000.0,https://www.youtube.com/watch?v=wzOrAzClA8k
222,Mounted Triangle - The Easy Way!,63000.0,https://www.youtube.com/watch?v=JNNuVJfWdkY
540,A cheeky little choke when caught in closed guard!,61000.0,https://www.youtube.com/watch?v=B3QjZqLk2i8
205,How To Lock A Triangle - Everytime!,59000.0,https://www.youtube.com/watch?v=DSuh4MRwqHg
