,title,view_num,url,tokenized_title,detokenized_title
224,How To Takedown A Bigger Opponent by Henry Cejudo,520000.0,https://www.youtube.com/watch?v=m0jQ8ae8_g8,"['to', 'takedown', 'bigger', 'opponent', 'henry', 'cejudo']",to takedown bigger opponent henry cejudo
178,How To Do The Perfect Armbar by John Danaher,470000.0,https://www.youtube.com/watch?v=GshEzcqlUbY,"['to', 'perfect', 'armbar', 'john', 'danaher']",to perfect armbar john danaher
134,The 3 Most Important Jiu Jitsu Techniques For A BJJ White Belt by John Danaher,410000.0,https://www.youtube.com/watch?v=QBqwipFt0Ww,"['3', 'important', 'jiu', 'jitsu', 'techniques', 'bjj', 'white', 'belt', 'john', 'danaher']",3 important jiu jitsu techniques bjj white belt john danaher
162,How To Do The Perfect BJJ Side Control Escape by John Danaher,350000.0,https://www.youtube.com/watch?v=cuXq-k__9lQ,"['to', 'perfect', 'bjj', 'side', 'control', 'escape', 'john', 'danaher']",to perfect bjj side control escape john danaher
206,How To Do The Perfect Triangle Choke Even If You Have Short Legs by John Danaher,320000.0,https://www.youtube.com/watch?v=LDE0fkzZT6I,"['to', 'perfect', 'triangle', 'choke', 'even', 'short', 'legs', 'john', 'danaher']",to perfect triangle choke even short legs john danaher
236,How To Do The Perfect Kimura From Side Control by John Danaher,270000.0,https://www.youtube.com/watch?v=p-6lmaseoGI,"['to', 'perfect', 'kimura', 'from', 'side', 'control', 'john', 'danaher']",to perfect kimura from side control john danaher
155,How To Do The Perfect BJJ Mount Escape by John Danaher,230000.0,https://www.youtube.com/watch?v=EMEueexp9zU,"['to', 'perfect', 'bjj', 'mount', 'escape', 'john', 'danaher']",to perfect bjj mount escape john danaher
130,How To Build The Perfect Half Guard Game by John Danaher,220000.0,https://www.youtube.com/watch?v=E8x1Cva8hJ8,"['to', 'build', 'perfect', 'half', 'guard', 'game', 'john', 'danaher']",to build perfect half guard game john danaher
163,"3 Submissions Every BJJ Black Belt Should Know by Craig Jones, Bernardo Faria & John Danaher",210000.0,https://www.youtube.com/watch?v=u9BE8kY123A,"['3', 'submissions', 'every', 'bjj', 'black', 'belt', 'know', 'craig', 'jones', ',', 'bernardo', 'faria', '&', 'john', 'danaher']","3 submissions every bjj black belt know craig jones , bernardo faria & john danaher"
257,The High Elbow Guillotine by John Danaher,200000.0,https://www.youtube.com/watch?v=XCiRr7TW2bk,"['high', 'elbow', 'guillotine', 'john', 'danaher']",high elbow guillotine john danaher
