,title,view_num,url
4874,2013 Worlds Most Exciting Fight - Marcus Buchecha vs Bernardo Faria,1160000.0,https://www.youtube.com/watch?v=9oIrfoAkHTk
4799,"Marcus Almeida ""Buchecha"" vs Rodolfo Vieira / World Championship 2014",980000.0,https://www.youtube.com/watch?v=RdDOtTKxojM
3518,Erberth Santos vs Mahamed Aly / World Championship 2017,800000.0,https://www.youtube.com/watch?v=A_aR7Hw0ASQ
2979,"2018 World Most Exciting Fight / Marcus ""Buchecha"" Almeida vs Nicholas Meregali",680000.0,https://www.youtube.com/watch?v=JqNk2XEEDFQ
4870,"Marcus Almeida ""Buchecha"" vs Rodolfo Vieira 2013 Worlds BJJ Black Belt Final",490000.0,https://www.youtube.com/watch?v=7n5Ge0AiCRk
2047,Nicholas Meregali vs Leandro Lo / World Championship 2017,450000.0,https://www.youtube.com/watch?v=FoXwKjnGEOc
997,Roger Gracie VS Rafael Lovato Jr / World Championship 2009,400000.0,https://www.youtube.com/watch?v=w6hrgC5mcQI
4552,"Roger Gracie VS Rodrigo ""Comprido"" Medeiros / 2015 IBJJF Black Belt League Super Fight",380000.0,https://www.youtube.com/watch?v=gDw_pDXq4dc
4872,"Augusto Mendes ""Tanquinho"" vs Rafael Mendes 2013 Worlds BJJ Black Belt Final - Feather Weight",340000.0,https://www.youtube.com/watch?v=sHq-mIJizRA
4873,Paulo Miyao vs Keenan Cornelius / World Championship 2013,320000.0,https://www.youtube.com/watch?v=88S0nbYwHwk
641,Roger Gracie VS Bruno Bastos / World Championship 2009,320000.0,https://www.youtube.com/watch?v=N3B2ro-Ty1c
1120,Kaynan Duarte VS Leandro Lo / World Championship 2019,300000.0,https://www.youtube.com/watch?v=oNmDx4wNou4
1830,Leandro Lo vs André Galvão / Heavy Weight GP 2017,270000.0,https://www.youtube.com/watch?v=xkoHEYhnaxU
4801,Rafael Mendes vs Mario Reis,270000.0,https://www.youtube.com/watch?v=mCYZR-QaU5U
3814,Leandro Lo vs Erberth Santos Super Heavy HD / Brazilian National 2017,260000.0,https://www.youtube.com/watch?v=bzebjQ1jsG8
1851,Andre Galvão VS Xande Ribeiro / Heavy Weight GP 2017,240000.0,https://www.youtube.com/watch?v=Nawfvp7IerU
1953,Rafael Mendes vs Marcio Andre / World Championship 2016,230000.0,https://www.youtube.com/watch?v=MO4v6kTUxvo
1119,Nicholas Meregali VS Mahamed Aly / World Championship 2019,230000.0,https://www.youtube.com/watch?v=47j11Be1Vc0
1890,Gordon Ryan vs Kaynan Duarte / Pan NoGi Championship 2018,230000.0,https://www.youtube.com/watch?v=EYsEROefRc0
1613,Keenan Cornelius VS Nicholas Meregali / World Championship 2019,230000.0,https://www.youtube.com/watch?v=krG6xTmi1Eo
4724,Leandro Lo vs Keenan Cornelius - NY BJJ PRO,230000.0,https://www.youtube.com/watch?v=wdAGw_LYFno
1936,Mahamed Aly vs Nicholas Meregali / World Championship 2018,220000.0,https://www.youtube.com/watch?v=WYMQLuUDy8g
2349,Epic Pan Final / Leandro Lo vs Romulo Barral,210000.0,https://www.youtube.com/watch?v=n8sys2-tXhU
1419,Michael Musumeci VS Bruno Malfacine / World Championship 2019,210000.0,https://www.youtube.com/watch?v=P-ttAlZ6df8
4203,Rafael Mendes X Gabriel Oliveira - San Antonio Open 2016 - Black Adult - Male - Feather,210000.0,https://www.youtube.com/watch?v=dS9-5OOTrqY
2460,Keenan Cornelius vs Mahamed Aly / Pan Championship 2018,200000.0,https://www.youtube.com/watch?v=P9KhuY8QTFg
4446,Renato Cardoso x Otavio Nalati - Floripa Open 2015 - PRETA/Adulto/Masculino/Absoluto - Final,200000.0,https://www.youtube.com/watch?v=Ns1MlNmrj5E
3149,"Mahamed Aly vs Roberto ""Cyborg"" Abreu / World Championship 2017",200000.0,https://www.youtube.com/watch?v=FCQO6YhMv8Q
1137,Ffion Davies VS Julia Mæle / Dublin Open 2019,190000.0,https://www.youtube.com/watch?v=KxvOU60ITOQ
1773,Gordon Ryan vs Evangelos Moumtzis / World NoGi 2018,190000.0,https://www.youtube.com/watch?v=UM9MfXz-r-s
4142,Michael Musumeci x João Miyao - American Nat'l 2016 - Black Belt Adult Male Light Feather -Final,190000.0,https://www.youtube.com/watch?v=TJN1-KEAe3w
